,Instrument,Common Equity - Total,Original Announcement Date Time
0,SHW,3078700000.0,2021-04-27T11:00:23Z
1,SHW,3610800000.0,2021-01-28T12:00:15Z
2,SHW,4207300000.0,2020-10-27T11:00:11Z
3,SHW,3869900000.0,2020-07-28T11:00:19Z
4,SHW,3289100000.0,2020-04-29T11:00:18Z
5,SHW,4123300000.0,2020-01-30T12:03:10Z
6,SHW,4022860000.0,2019-10-22T11:56:07Z
7,SHW,3747482000.0,2019-07-23T11:00:10Z
8,SHW,3460061000.0,2019-04-23T11:00:14Z
9,SHW,3730745000.0,2019-01-31T12:00:08Z
10,SHW,3974839000.0,2018-10-25T11:00:09Z
11,SHW,3747089000.0,2018-07-24T11:29:55Z
12,SHW,3690046000.0,2018-04-24T17:00:00Z
13,SHW,3647874000.0,2018-01-25T17:00:00Z
14,SHW,2740989000.0,2017-10-24T16:00:00Z
15,SHW,2391260000.0,2017-07-20T17:00:00Z
16,SHW,2065350000.0,2017-04-20T17:00:00Z
17,SHW,1878441000.0,2017-01-26T12:00:00Z
18,SHW,1597783000.0,2016-10-25T16:00:00Z
19,SHW,1246629000.0,2016-07-21T17:00:00Z
20,DTE,12552000000.0,2021-04-27T14:18:43Z
21,DTE,12425000000.0,2021-02-19T18:45:54Z
22,DTE,12323000000.0,2020-10-27T15:56:50Z
23,DTE,11724000000.0,2020-07-28T15:00:04Z
24,DTE,11822000000.0,2020-04-28T00:00:00Z
25,DTE,11672000000.0,2020-02-05T20:18:55Z
26,DTE,10740000000.0,2019-10-28T14:34:20Z
27,DTE,10396000000.0,2019-07-24T15:08:00Z
28,DTE,10545000000.0,2019-04-24T15:10:52Z
29,DTE,10237000000.0,2019-02-07T17:59:26Z
30,DTE,10207000000.0,2018-10-24T16:04:36Z
31,DTE,9844000000.0,2018-07-25T17:17:27Z
32,DTE,9888000000.0,2018-04-25T23:00:00Z
33,DTE,9512000000.0,2018-02-16T23:00:00Z
34,DTE,9373000000.0,2017-10-25T17:00:00Z
35,DTE,9088000000.0,2017-07-26T17:00:00Z
36,DTE,9194000000.0,2017-04-26T12:15:00Z
37,DTE,9011000000.0,2017-02-09T12:00:00Z
38,DTE,9130000000.0,2016-10-26T17:00:00Z
39,DTE,8778000000.0,2016-07-26T17:00:00Z
40,LOW,445000000.0,2021-05-19T10:01:49Z
41,LOW,1437000000.0,2021-02-24T11:04:02Z
42,LOW,4073000000.0,2020-11-18T13:47:21Z
43,LOW,4356000000.0,2020-08-19T12:51:39Z
44,LOW,1716000000.0,2020-05-20T10:04:19Z
45,LOW,1972000000.0,2020-02-26T11:02:48Z
46,LOW,2458000000.0,2019-11-20T11:02:49Z
47,LOW,2640000000.0,2019-08-21T10:03:46Z
48,LOW,3236000000.0,2019-05-22T10:02:18Z
49,LOW,3644000000.0,2019-02-27T11:24:58Z
50,LOW,5394000000.0,2018-11-20T11:00:08Z
51,LOW,5781000000.0,2018-08-22T10:00:05Z
52,LOW,5745000000.0,2018-05-23T17:00:00Z
53,LOW,5873000000.0,2018-04-02T23:00:00Z
54,LOW,5742000000.0,2017-11-21T17:00:00Z
55,LOW,5536000000.0,2017-08-23T11:00:00Z
56,LOW,5531000000.0,2017-05-24T11:00:00Z
57,LOW,6434000000.0,2017-03-01T11:00:00Z
58,LOW,6599000000.0,2016-11-16T11:00:00Z
59,LOW,6913000000.0,2016-08-17T17:00:00Z
60,WBA,22101000000.0,2021-07-01T11:00:00Z
61,WBA,21111000000.0,2021-03-31T11:00:01Z
62,WBA,20057000000.0,2021-01-07T12:00:17Z
63,WBA,20638000000.0,2020-10-15T11:00:00Z
64,WBA,20737000000.0,2020-07-09T11:00:00Z
65,WBA,23719000000.0,2020-04-02T11:00:00Z
66,WBA,23661000000.0,2020-01-08T12:00:01Z
67,WBA,23511000000.0,2019-10-28T11:00:00Z
68,WBA,24133000000.0,2019-06-27T11:00:00Z
69,WBA,24770000000.0,2019-04-02T11:00:00Z
70,WBA,25609000000.0,2018-12-20T12:07:30Z
71,WBA,26007000000.0,2018-10-11T11:00:00Z
72,WBA,27736000000.0,2018-06-28T11:07:34Z
73,WBA,27355000000.0,2018-03-28T17:00:00Z
74,WBA,25929000000.0,2018-01-04T16:00:00Z
75,WBA,27466000000.0,2017-10-25T17:00:00Z
76,WBA,30600000000.0,2017-06-29T17:00:00Z
77,WBA,30067000000.0,2017-04-05T12:00:00Z
78,WBA,29325000000.0,2017-01-05T12:08:00Z
79,WBA,29880000000.0,2016-10-20T12:00:00Z
80,MAR,234000000.0,2021-05-10T11:00:09Z
81,MAR,430000000.0,2021-02-18T13:11:16Z
82,MAR,229000000.0,2020-11-06T12:00:07Z
83,MAR,-79000000.0,2020-08-10T11:00:09Z
84,MAR,-20000000.0,2020-05-11T11:00:19Z
85,MAR,703000000.0,2020-02-26T22:20:53Z
86,MAR,838000000.0,2019-11-04T21:30:07Z
87,MAR,1240000000.0,2019-08-05T20:30:08Z
88,MAR,1603000000.0,2019-05-10T10:16:48Z
89,MAR,2225000000.0,2019-02-28T23:36:25Z
90,MAR,2324000000.0,2018-11-05T21:30:07Z
91,MAR,2841000000.0,2018-08-06T20:45:58Z
92,MAR,3566000000.0,2018-05-08T17:00:00Z
93,MAR,3582000000.0,2018-02-14T17:00:00Z
94,MAR,4512000000.0,2017-11-07T17:00:00Z
95,MAR,4901000000.0,2017-08-07T21:22:00Z
96,MAR,5168000000.0,2017-05-09T17:00:00Z
97,MAR,5357000000.0,2017-02-15T17:00:00Z
98,MAR,5841000000.0,2016-11-07T17:00:00Z
99,MAR,-3462000000.0,2016-07-27T21:30:00Z
100,EMR,9130000000.0,2021-05-05T10:55:00Z
101,EMR,8895000000.0,2021-02-02T12:00:00Z
102,EMR,8405000000.0,2020-11-03T11:57:40Z
103,EMR,7831000000.0,2020-08-04T10:55:00Z
104,EMR,7517000000.0,2020-04-21T10:55:00Z
105,EMR,8421000000.0,2020-02-04T11:55:00Z
106,EMR,8233000000.0,2019-11-05T12:00:01Z
107,EMR,8755000000.0,2019-08-06T10:55:23Z
108,EMR,8526000000.0,2019-05-07T10:56:46Z
109,EMR,8236000000.0,2019-02-05T11:54:55Z
110,EMR,8947000000.0,2018-11-06T11:59:33Z
111,EMR,8413000000.0,2018-08-07T16:00:00Z
112,EMR,8492000000.0,2018-05-01T17:00:00Z
113,EMR,8349000000.0,2018-02-06T17:00:00Z
114,EMR,8718000000.0,2017-11-07T17:00:00Z
115,EMR,7966000000.0,2017-08-01T16:00:00Z
116,EMR,8006000000.0,2017-05-02T17:00:00Z
117,EMR,7713000000.0,2017-02-07T11:36:00Z
118,EMR,7568000000.0,2016-11-01T17:00:00Z
119,EMR,7901000000.0,2016-08-02T16:00:00Z
120,PENN,2732100000.0,2021-05-06T11:00:01Z
121,PENN,2633100000.0,2021-02-04T12:00:01Z
122,PENN,2610600000.0,2020-10-29T11:00:00Z
123,PENN,1483100000.0,2020-08-06T11:00:00Z
124,PENN,1255300000.0,2020-05-07T11:00:00Z
125,PENN,1852700000.0,2020-02-06T12:00:00Z
126,PENN,1939800000.0,2019-10-31T11:04:15Z
127,PENN,1891908000.0,2019-08-01T11:00:00Z
128,PENN,1861821000.0,2019-05-02T11:01:52Z
129,PENN,731226000.0,2019-02-07T12:00:00Z
130,PENN,70456000.0,2018-11-01T11:00:00Z
131,PENN,27756000.0,2018-07-26T21:00:12Z
132,PENN,-33639000.0,2018-04-26T17:00:00Z
133,PENN,-73146000.0,2018-02-08T17:00:00Z
134,PENN,260012000.0,2017-10-26T16:00:00Z
135,PENN,-517525000.0,2017-07-27T17:00:00Z
136,PENN,-540732000.0,2017-04-27T12:00:00Z
137,PENN,-543320000.0,2017-02-02T17:00:00Z
138,PENN,-553862000.0,2016-10-27T16:00:00Z
139,PENN,-606924000.0,2016-07-28T12:00:00Z
140,WEC,10767100000.0,2021-05-03T11:00:05Z
141,WEC,10469700000.0,2021-02-04T12:00:19Z
142,WEC,10450700000.0,2020-11-03T12:28:13Z
143,WEC,10383700000.0,2020-08-04T11:03:07Z
144,WEC,10344100000.0,2020-05-04T11:29:46Z
145,WEC,10113400000.0,2020-01-30T12:00:14Z
146,WEC,10051000000.0,2019-11-06T12:00:23Z
147,WEC,10016200000.0,2019-08-05T11:00:08Z
148,WEC,9984500000.0,2019-04-25T11:00:18Z
149,WEC,9788900000.0,2019-02-12T12:00:03Z
150,WEC,9775300000.0,2018-10-31T11:00:06Z
151,WEC,9725800000.0,2018-07-31T11:00:13Z
