,Instrument,Earnings before Interest & Taxes (EBIT) - Normalized,Original Announcement Date Time
0,SHW,706100000.0,2021-04-27T11:00:23Z
1,SHW,590600000.0,2021-01-28T12:00:15Z
2,SHW,955100000.0,2020-10-27T11:00:11Z
3,SHW,848200000.0,2020-07-28T11:00:19Z
4,SHW,517100000.0,2020-04-29T11:00:18Z
5,SHW,481756000.0,2020-01-30T12:03:10Z
6,SHW,777187000.0,2019-10-22T11:56:07Z
7,SHW,767041000.0,2019-07-23T11:00:10Z
8,SHW,424516000.0,2019-04-23T11:00:14Z
9,SHW,286595000.0,2019-01-31T12:00:08Z
10,SHW,676883000.0,2018-10-25T11:00:09Z
11,SHW,672757000.0,2018-07-24T11:29:55Z
12,SHW,426174000.0,2018-04-24T17:00:00Z
13,SHW,381078000.0,2018-01-25T17:00:00Z
14,SHW,553087000.0,2017-10-24T16:00:00Z
15,SHW,594504000.0,2017-07-20T17:00:00Z
16,SHW,346465000.0,2017-04-20T17:00:00Z
17,SHW,358361000.0,2017-01-26T12:00:00Z
18,SHW,580234000.0,2016-10-25T16:00:00Z
19,SHW,581248000.0,2016-07-21T17:00:00Z
20,DTE,592000000.0,2021-04-27T14:18:43Z
21,DTE,521000000.0,2021-02-19T18:45:54Z
22,DTE,677000000.0,2020-10-27T15:56:50Z
23,DTE,449000000.0,2020-07-28T15:00:04Z
24,DTE,570000000.0,2020-04-28T00:00:00Z
25,DTE,543000000.0,2020-02-05T20:18:55Z
26,DTE,431000000.0,2019-10-28T14:34:20Z
27,DTE,278000000.0,2019-07-24T15:08:00Z
28,DTE,737000000.0,2019-04-24T15:10:52Z
29,DTE,461000000.0,2019-02-07T17:59:26Z
30,DTE,507000000.0,2018-10-24T16:04:36Z
31,DTE,387000000.0,2018-07-25T17:17:27Z
32,DTE,583000000.0,2018-04-25T23:00:00Z
33,DTE,259000000.0,2018-02-16T23:00:00Z
34,DTE,470000000.0,2017-10-25T17:00:00Z
35,DTE,347000000.0,2017-07-26T17:00:00Z
36,DTE,637000000.0,2017-04-26T12:15:00Z
37,DTE,305000000.0,2017-02-09T12:00:00Z
38,DTE,565000000.0,2016-10-26T17:00:00Z
39,DTE,325000000.0,2016-07-26T17:00:00Z
40,LOW,3298000000.0,2021-05-19T10:01:49Z
41,LOW,1629000000.0,2021-02-24T11:04:02Z
42,LOW,2428000000.0,2020-11-18T13:47:21Z
43,LOW,4181000000.0,2020-08-19T12:51:39Z
44,LOW,2337000000.0,2020-05-20T10:04:19Z
45,LOW,-160000000.0,2020-02-26T11:02:48Z
46,LOW,1607000000.0,2019-11-20T11:02:49Z
47,LOW,2380000000.0,2019-08-21T10:03:46Z
48,LOW,1409000000.0,2019-05-22T10:02:18Z
49,LOW,49000000.0,2019-02-27T11:24:58Z
50,LOW,1230000000.0,2018-11-20T11:00:08Z
51,LOW,2391000000.0,2018-08-22T10:00:05Z
52,LOW,1461000000.0,2018-05-23T17:00:00Z
53,LOW,1096000000.0,2018-04-02T23:00:00Z
54,LOW,1547000000.0,2017-11-21T17:00:00Z
55,LOW,2378000000.0,2017-08-23T11:00:00Z
56,LOW,1553000000.0,2017-05-24T11:00:00Z
57,LOW,1266000000.0,2017-03-01T11:00:00Z
58,LOW,939000000.0,2016-11-16T11:00:00Z
59,LOW,2051000000.0,2016-08-17T17:00:00Z
60,WBA,1458000000.0,2021-07-01T11:00:00Z
61,WBA,1473000000.0,2021-03-31T11:00:01Z
62,WBA,-151000000.0,2021-01-07T12:00:17Z
63,WBA,1050000000.0,2020-10-15T11:00:00Z
64,WBA,1083000000.0,2020-07-09T11:00:00Z
65,WBA,1544000000.0,2020-04-02T11:00:00Z
66,WBA,1352000000.0,2020-01-08T12:00:01Z
67,WBA,1216000000.0,2019-10-28T11:00:00Z
68,WBA,1302000000.0,2019-06-27T11:00:00Z
69,WBA,1926000000.0,2019-04-02T11:00:00Z
70,WBA,1504000000.0,2018-12-20T12:07:30Z
71,WBA,2141000000.0,2018-10-11T11:00:00Z
72,WBA,1580000000.0,2018-06-28T11:07:34Z
73,WBA,2309000000.0,2018-03-28T17:00:00Z
74,WBA,1499000000.0,2018-01-04T16:00:00Z
75,WBA,1806000000.0,2017-10-25T17:00:00Z
76,WBA,1729000000.0,2017-06-29T17:00:00Z
77,WBA,1850000000.0,2017-04-05T12:00:00Z
78,WBA,1495000000.0,2017-01-05T12:08:00Z
79,WBA,2864000000.0,2016-10-20T12:00:00Z
80,MAR,74000000.0,2021-05-10T11:00:09Z
81,MAR,115000000.0,2021-02-18T13:11:16Z
82,MAR,474000000.0,2020-11-06T12:00:07Z
83,MAR,-138000000.0,2020-08-10T11:00:09Z
84,MAR,194000000.0,2020-05-11T11:00:19Z
85,MAR,362000000.0,2020-02-26T22:20:53Z
86,MAR,628000000.0,2019-11-04T21:30:07Z
87,MAR,583000000.0,2019-08-05T20:30:08Z
