,Instrument,Enterprise Value,Original Announcement Date Time
0,SHW,74631552909.61,2021-04-27T11:00:23Z
1,SHW,74813337704.46,2021-01-28T12:00:15Z
2,SHW,70952366310.44,2020-10-27T11:00:11Z
3,SHW,61274544875.3,2020-07-28T11:00:19Z
4,SHW,51256116000.0,2020-04-29T11:00:18Z
5,SHW,62389533909.6,2020-01-30T12:03:10Z
6,SHW,59476734798.8,2019-10-22T11:56:07Z
7,SHW,51618108214.58,2019-07-23T11:00:10Z
8,SHW,49655431963.81,2019-04-23T11:00:14Z
9,SHW,46026356686.82,2019-01-31T12:00:08Z
10,SHW,51997990024.62,2018-10-25T11:00:09Z
11,SHW,48346258465.73,2018-07-24T11:29:55Z
12,SHW,47510438326.92,2018-04-24T17:00:00Z
13,SHW,48660888116.64,2018-01-25T17:00:00Z
14,SHW,44186019908.76,2017-10-24T16:00:00Z
15,SHW,44077472912.24,2017-07-20T17:00:00Z
16,SHW,29823867617.76,2017-04-20T17:00:00Z
17,SHW,26030773316.34,2017-01-26T12:00:00Z
18,SHW,26963003625.06,2016-10-25T16:00:00Z
19,SHW,28650691694.69,2016-07-21T17:00:00Z
20,DTE,44900840872.54,2021-04-27T14:18:43Z
21,DTE,42658070186.13,2021-02-19T18:45:54Z
22,DTE,41161095578.72,2020-10-27T15:56:50Z
23,DTE,39223954657.5,2020-07-28T15:00:04Z
24,DTE,36450350433.54,2020-04-28T00:00:00Z
25,DTE,42473685311.03,2020-02-05T20:18:55Z
26,DTE,40263399969.6,2019-10-28T14:34:20Z
27,DTE,38613205164.76,2019-07-24T15:08:00Z
28,DTE,37708173237.28,2019-04-24T15:10:52Z
29,DTE,34717330147.2,2019-02-07T17:59:26Z
30,DTE,33933841000.62,2018-10-24T16:04:36Z
31,DTE,32402100181.69,2018-07-25T17:17:27Z
32,DTE,31996899192.4,2018-04-25T23:00:00Z
33,DTE,32963060705.56,2018-02-16T23:00:00Z
34,DTE,32239694641.44,2017-10-25T17:00:00Z
35,DTE,31589046722.41,2017-07-26T17:00:00Z
36,DTE,30559249864.64,2017-04-26T12:15:00Z
37,DTE,29854142244.04,2017-02-09T12:00:00Z
38,DTE,26663676824.68,2016-10-26T17:00:00Z
39,DTE,27457597596.48,2016-07-26T17:00:00Z
40,LOW,157298256093.75,2021-05-19T10:01:49Z
41,LOW,139344809024.15,2021-02-24T11:04:02Z
42,LOW,131576868872.6,2020-11-18T13:47:21Z
43,LOW,121507463225.25,2020-08-19T12:51:39Z
44,LOW,94710935770.08,2020-05-20T10:04:19Z
45,LOW,107685103983.2,2020-02-26T11:02:48Z
46,LOW,104226656162.1,2019-11-20T11:02:49Z
47,LOW,93439802707.32,2019-08-21T10:03:46Z
48,LOW,104006876482.12,2019-05-22T10:02:18Z
49,LOW,93687154949.77,2019-02-27T11:24:58Z
50,LOW,92139207671.78,2018-11-20T11:00:08Z
51,LOW,93244112872.14,2018-08-22T10:00:05Z
52,LOW,83816293848.63,2018-05-23T17:00:00Z
53,LOW,100611700595.5,2018-04-02T23:00:00Z
54,LOW,80172724987.68,2017-11-21T17:00:00Z
55,LOW,80537026416.28,2017-08-23T11:00:00Z
56,LOW,87818630948.0,2017-05-24T11:00:00Z
57,LOW,78873097770.08,2017-03-01T11:00:00Z
58,LOW,72902423201.62,2016-11-16T11:00:00Z
59,LOW,86732696032.48,2016-08-17T17:00:00Z
60,WBA,61700010051.88,2021-07-01T11:00:00Z
61,WBA,58399515565.55,2021-03-31T11:00:01Z
62,WBA,49668908064.17,2021-01-07T12:00:17Z
63,WBA,49722626063.78,2020-10-15T11:00:00Z
64,WBA,55030835173.3,2020-07-09T11:00:00Z
65,WBA,58047027914.24,2020-04-02T11:00:00Z
66,WBA,70910452301.6,2020-01-08T12:00:01Z
67,WBA,62685913870.97,2019-10-28T11:00:00Z
68,WBA,61970098464.42,2019-06-27T11:00:00Z
69,WBA,85029830755.84,2019-04-02T11:00:00Z
70,WBA,95545465797.12,2018-12-20T12:07:30Z
71,WBA,82333754516.32,2018-10-11T11:00:00Z
72,WBA,75875573574.58,2018-06-28T11:07:34Z
73,WBA,83061841599.53,2018-03-28T17:00:00Z
74,WBA,85060282987.56,2018-01-04T16:00:00Z
75,WBA,97654863609.0,2017-10-25T17:00:00Z
76,WBA,94540217295.72,2017-06-29T17:00:00Z
77,WBA,100682403666.64,2017-04-05T12:00:00Z
78,WBA,101072204106.87,2017-01-05T12:08:00Z
79,WBA,99516844375.77,2016-10-20T12:00:00Z
80,MAR,57800220687.64,2021-05-10T11:00:09Z
81,MAR,52284839974.72,2021-02-18T13:11:16Z
82,MAR,39443089550.92,2020-11-06T12:00:07Z
83,MAR,37313460707.44,2020-08-10T11:00:09Z
84,MAR,34727986400.99,2020-05-11T11:00:19Z
85,MAR,60223103073.17,2020-02-26T22:20:53Z
86,MAR,51465356567.77,2019-11-04T21:30:07Z
87,MAR,56845003521.86,2019-08-05T20:30:08Z
88,MAR,52115070472.96,2019-05-10T10:16:48Z
89,MAR,46064105368.0,2019-02-28T23:36:25Z
90,MAR,54766843728.11,2018-11-05T21:30:07Z
91,MAR,53359790601.6,2018-08-06T20:45:58Z
92,MAR,56749322558.22,2018-05-08T17:00:00Z
93,MAR,57339617541.59,2018-02-14T17:00:00Z
