,Instrument,Income Available to Common Shares,Original Announcement Date Time
0,SHW,409600000.0,2021-04-27T11:00:23Z
1,SHW,407000000.0,2021-01-28T12:00:15Z
2,SHW,705800000.0,2020-10-27T11:00:11Z
3,SHW,595900000.0,2020-07-28T11:00:19Z
4,SHW,321700000.0,2020-04-29T11:00:18Z
5,SHW,248622000.0,2020-01-30T12:03:10Z
6,SHW,576438000.0,2019-10-22T11:56:07Z
7,SHW,471003000.0,2019-07-23T11:00:10Z
8,SHW,245237000.0,2019-04-23T11:00:14Z
9,SHW,100988000.0,2019-01-31T12:00:08Z
10,SHW,354027000.0,2018-10-25T11:00:09Z
11,SHW,403604000.0,2018-07-24T11:29:55Z
12,SHW,250127000.0,2018-04-24T17:00:00Z
13,SHW,853079000.0,2018-01-25T17:00:00Z
14,SHW,316606000.0,2017-10-24T16:00:00Z
15,SHW,319111000.0,2017-07-20T17:00:00Z
16,SHW,239152000.0,2017-04-20T17:00:00Z
17,SHW,203030000.0,2017-01-26T12:00:00Z
18,SHW,386733000.0,2016-10-25T16:00:00Z
19,SHW,378064000.0,2016-07-21T17:00:00Z
20,DTE,397000000.0,2021-04-27T14:18:43Z
21,DTE,275000000.0,2021-02-19T18:45:54Z
22,DTE,475000000.0,2020-10-27T15:56:50Z
23,DTE,277000000.0,2020-07-28T15:00:04Z
24,DTE,339000000.0,2020-04-28T00:00:00Z
25,DTE,267000000.0,2020-02-05T20:18:55Z
26,DTE,318000000.0,2019-10-28T14:34:20Z
27,DTE,182000000.0,2019-07-24T15:08:00Z
28,DTE,400000000.0,2019-04-24T15:10:52Z
29,DTE,191000000.0,2019-02-07T17:59:26Z
30,DTE,333000000.0,2018-10-24T16:04:36Z
31,DTE,234000000.0,2018-07-25T17:17:27Z
32,DTE,360000000.0,2018-04-25T23:00:00Z
33,DTE,287000000.0,2018-02-16T23:00:00Z
34,DTE,269000000.0,2017-10-25T17:00:00Z
35,DTE,177000000.0,2017-07-26T17:00:00Z
36,DTE,399000000.0,2017-04-26T12:15:00Z
37,DTE,131000000.0,2017-02-09T12:00:00Z
38,DTE,338000000.0,2016-10-26T17:00:00Z
39,DTE,152000000.0,2016-07-26T17:00:00Z
40,LOW,2312000000.0,2021-05-19T10:01:49Z
41,LOW,974000000.0,2021-02-24T11:04:02Z
