,Date,Instrument,GICS Sector,BUY_SELL,Probability
0,2017-08-24,DLTR,Consumer Discretionary,BUY,0.5088332056773279
1,2017-11-21,DLTR,Consumer Discretionary,BUY,0.5066079643287763
2,2018-03-07,DLTR,Consumer Discretionary,BUY,0.5089512274815783
3,2018-05-31,DLTR,Consumer Discretionary,BUY,0.5032333983021854
4,2018-07-20,VFC,Consumer Discretionary,BUY,0.5087817772538351
5,2018-08-03,TRMB,Information Technology,BUY,0.5157859568233291
6,2018-10-19,VFC,Consumer Discretionary,BUY,0.503939496096943
7,2018-11-01,TRMB,Information Technology,BUY,0.5141361666399404
8,2018-12-19,GIS,Consumer Staples,SELL,0.3954231344719287
9,2019-01-18,VFC,Consumer Discretionary,BUY,0.506368792913128
10,2019-01-29,LHX,Industrials,BUY,0.5063880133286142
11,2019-02-06,TRMB,Information Technology,BUY,0.5133751806177483
12,2019-03-06,DLTR,Consumer Discretionary,SELL,0.49905082600236417
13,2019-03-20,GIS,Consumer Staples,SELL,0.4050415021629574
14,2019-04-26,IPG,Communication Services,SELL,0.4870636135779947
15,2019-04-30,IR,Industrials,BUY,0.5055781576910087
16,2019-05-01,TRMB,Information Technology,BUY,0.51239800648309
17,2019-05-15,CSCO,Information Technology,BUY,0.5183932339922667
18,2019-05-21,AZO,Consumer Discretionary,BUY,0.5134385608788878
19,2019-05-22,VFC,Consumer Discretionary,BUY,0.5010145518644715
20,2019-06-26,GIS,Consumer Staples,SELL,0.37264756101510604
21,2019-06-27,NKE,Consumer Discretionary,BUY,0.5046679463303364
22,2019-06-27,CAG,Consumer Staples,SELL,0.35874508403380156
23,2019-07-09,PEP,Consumer Staples,SELL,0.3817438337928968
24,2019-07-11,FAST,Industrials,BUY,0.5146059426117143
25,2019-07-11,DAL,Industrials,BUY,0.5188984366933982
26,2019-07-15,C,Financials,BUY,0.5108232030694196
27,2019-07-15,JBHT,Industrials,BUY,0.5131862282550472
28,2019-07-16,CTAS,Industrials,BUY,0.5172101621206012
