,Instrument,Original Announcement Date Time,Revenue from Business Activities - Total
0,SHW,2021-04-27T11:00:23Z,4656000000.0
1,SHW,2021-01-28T12:00:15Z,4488800000.0
2,SHW,2020-10-27T11:00:11Z,5122200000.0
3,SHW,2020-07-28T11:00:19Z,4604000000.0
4,SHW,2020-04-29T11:00:18Z,4146700000.0
5,SHW,2020-01-30T12:03:10Z,4114429000.0
6,SHW,2019-10-22T11:56:07Z,4867650000.0
7,SHW,2019-07-23T11:00:10Z,4877860000.0
8,SHW,2019-04-23T11:00:14Z,4040861000.0
9,SHW,2019-01-31T12:00:08Z,4064221000.0
10,SHW,2018-10-25T11:00:09Z,4731470000.0
11,SHW,2018-07-24T11:29:55Z,4773796000.0
12,SHW,2018-04-24T17:00:00Z,3965006000.0
13,SHW,2018-01-25T17:00:00Z,3979564000.0
14,SHW,2017-10-24T16:00:00Z,4507020000.0
15,SHW,2017-07-20T17:00:00Z,3735817000.0
16,SHW,2017-04-20T17:00:00Z,2761387000.0
17,SHW,2017-01-26T12:00:00Z,2782591000.0
18,SHW,2016-10-25T16:00:00Z,3279462000.0
19,SHW,2016-07-21T17:00:00Z,3219525000.0
20,DTE,2021-04-27T14:18:43Z,3778000000.0
21,DTE,2021-02-19T18:45:54Z,3288000000.0
22,DTE,2020-10-27T15:56:50Z,3284000000.0
23,DTE,2020-07-28T15:00:04Z,2583000000.0
24,DTE,2020-04-28T00:00:00Z,3006000000.0
25,DTE,2020-02-05T20:18:55Z,3220000000.0
26,DTE,2019-10-28T14:34:20Z,3080000000.0
27,DTE,2019-07-24T15:08:00Z,2851000000.0
28,DTE,2019-04-24T15:10:52Z,3578000000.0
29,DTE,2019-02-07T17:59:26Z,3726000000.0
30,DTE,2018-10-24T16:04:36Z,3555000000.0
31,DTE,2018-07-25T17:17:27Z,3175000000.0
32,DTE,2018-04-25T23:00:00Z,3733000000.0
33,DTE,2018-02-16T23:00:00Z,3340000000.0
34,DTE,2017-10-25T17:00:00Z,3226000000.0
35,DTE,2017-07-26T17:00:00Z,2824000000.0
36,DTE,2017-04-26T12:15:00Z,3186000000.0
37,DTE,2017-02-09T12:00:00Z,2924000000.0
38,DTE,2016-10-26T17:00:00Z,2888000000.0
39,DTE,2016-07-26T17:00:00Z,2272000000.0
40,LOW,2021-05-19T10:01:49Z,24422000000.0
41,LOW,2021-02-24T11:04:02Z,20311000000.0
42,LOW,2020-11-18T13:47:21Z,22309000000.0
43,LOW,2020-08-19T12:51:39Z,27302000000.0
44,LOW,2020-05-20T10:04:19Z,19675000000.0
45,LOW,2020-02-26T11:02:48Z,16027000000.0
46,LOW,2019-11-20T11:02:49Z,17388000000.0
47,LOW,2019-08-21T10:03:46Z,20992000000.0
48,LOW,2019-05-22T10:02:18Z,17741000000.0
49,LOW,2019-02-27T11:24:58Z,15647000000.0
50,LOW,2018-11-20T11:00:08Z,17415000000.0
51,LOW,2018-08-22T10:00:05Z,20888000000.0
52,LOW,2018-05-23T17:00:00Z,17360000000.0
53,LOW,2018-04-02T23:00:00Z,15494000000.0
54,LOW,2017-11-21T17:00:00Z,16770000000.0
55,LOW,2017-08-23T11:00:00Z,19495000000.0
56,LOW,2017-05-24T11:00:00Z,16860000000.0
57,LOW,2017-03-01T11:00:00Z,15784000000.0
58,LOW,2016-11-16T11:00:00Z,15739000000.0
59,LOW,2016-08-17T17:00:00Z,18260000000.0
60,WBA,2021-07-01T11:00:00Z,34030000000.0
61,WBA,2021-03-31T11:00:01Z,32779000000.0
62,WBA,2021-01-07T12:00:17Z,36307000000.0
63,WBA,2020-10-15T11:00:00Z,34746000000.0
64,WBA,2020-07-09T11:00:00Z,30364000000.0
65,WBA,2020-04-02T11:00:00Z,31336000000.0
66,WBA,2020-01-08T12:00:01Z,34339000000.0
67,WBA,2019-10-28T11:00:00Z,33954000000.0
68,WBA,2019-06-27T11:00:00Z,34591000000.0
69,WBA,2019-04-02T11:00:00Z,34528000000.0
70,WBA,2018-12-20T12:07:30Z,33793000000.0
71,WBA,2018-10-11T11:00:00Z,33442000000.0
72,WBA,2018-06-28T11:07:34Z,34334000000.0
73,WBA,2018-03-28T17:00:00Z,33021000000.0
74,WBA,2018-01-04T16:00:00Z,30740000000.0
75,WBA,2017-10-25T17:00:00Z,30149000000.0
76,WBA,2017-06-29T17:00:00Z,30118000000.0
77,WBA,2017-04-05T12:00:00Z,29446000000.0
78,WBA,2017-01-05T12:08:00Z,28501000000.0
79,WBA,2016-10-20T12:00:00Z,28636000000.0
80,MAR,2021-05-10T11:00:09Z,536000000.0
81,MAR,2021-02-18T13:11:16Z,508000000.0
82,MAR,2020-11-06T12:00:07Z,465000000.0
83,MAR,2020-08-10T11:00:09Z,262000000.0
