,Instrument,Market Capitalization,Original Announcement Date Time
0,SHW,65837252909.61,2021-04-27T11:00:23Z
1,SHW,66747837704.46,2021-01-28T12:00:15Z
2,SHW,63281066310.44,2020-10-27T11:00:11Z
3,SHW,52613044875.3,2020-07-28T11:00:19Z
4,SHW,41724416000.0,2020-04-29T11:00:18Z
5,SHW,53866133909.6,2020-01-30T12:03:10Z
6,SHW,50758081798.8,2019-10-22T11:56:07Z
7,SHW,42307592214.58,2019-07-23T11:00:10Z
8,SHW,39918465963.81,2019-04-23T11:00:14Z
9,SHW,36838210686.82,2019-01-31T12:00:08Z
10,SHW,42507975024.62,2018-10-25T11:00:09Z
11,SHW,38126416465.73,2018-07-24T11:29:55Z
12,SHW,36856845326.92,2018-04-24T17:00:00Z
13,SHW,38344446116.64,2018-01-25T17:00:00Z
14,SHW,33444576908.76,2017-10-24T16:00:00Z
15,SHW,32783232912.24,2017-07-20T17:00:00Z
16,SHW,28887468617.76,2017-04-20T17:00:00Z
17,SHW,24968026316.34,2017-01-26T12:00:00Z
18,SHW,25703855625.06,2016-10-25T16:00:00Z
19,SHW,27082748694.69,2016-07-21T17:00:00Z
20,DTE,25792840872.54,2021-04-27T14:18:43Z
21,DTE,23500070186.13,2021-02-19T18:45:54Z
22,DTE,22267095578.72,2020-10-27T15:56:50Z
23,DTE,20709954657.5,2020-07-28T15:00:04Z
24,DTE,18292350433.54,2020-04-28T00:00:00Z
25,DTE,24948685311.03,2020-02-05T20:18:55Z
26,DTE,24384399969.6,2019-10-28T14:34:20Z
27,DTE,23429205164.76,2019-07-24T15:08:00Z
28,DTE,22854173237.28,2019-04-24T15:10:52Z
29,DTE,20066330147.2,2019-02-07T17:59:26Z
30,DTE,19836841000.62,2018-10-24T16:04:36Z
31,DTE,18807100181.69,2018-07-25T17:17:27Z
32,DTE,18759899192.4,2018-04-25T23:00:00Z
33,DTE,19636060705.56,2018-02-16T23:00:00Z
34,DTE,19259694641.44,2017-10-25T17:00:00Z
35,DTE,18978046722.41,2017-07-26T17:00:00Z
36,DTE,18317249864.64,2017-04-26T12:15:00Z
37,DTE,17676142244.04,2017-02-09T12:00:00Z
38,DTE,16807676824.68,2016-10-26T17:00:00Z
39,DTE,17785597596.48,2016-07-26T17:00:00Z
40,LOW,140746256093.75,2021-05-19T10:01:49Z
41,LOW,122254809024.15,2021-02-24T11:04:02Z
42,LOW,119481868872.6,2020-11-18T13:47:21Z
43,LOW,112427463225.25,2020-08-19T12:51:39Z
44,LOW,78861935770.08,2020-05-20T10:04:19Z
45,LOW,89095103983.2,2020-02-26T11:02:48Z
46,LOW,87174656162.1,2019-11-20T11:02:49Z
47,LOW,77688802707.32,2019-08-21T10:03:46Z
48,LOW,89429876482.12,2019-05-22T10:02:18Z
49,LOW,77975154949.77,2019-02-27T11:24:58Z
50,LOW,78257207671.78,2018-11-20T11:00:08Z
51,LOW,79681112872.14,2018-08-22T10:00:05Z
52,LOW,69554293848.63,2018-05-23T17:00:00Z
53,LOW,84220700595.5,2018-04-02T23:00:00Z
54,LOW,64892724987.68,2017-11-21T17:00:00Z
55,LOW,66162026416.28,2017-08-23T11:00:00Z
56,LOW,73730630948.0,2017-05-24T11:00:00Z
57,LOW,63751097770.08,2017-03-01T11:00:00Z
58,LOW,58628423201.62,2016-11-16T11:00:00Z
59,LOW,72908696032.48,2016-08-17T17:00:00Z
60,WBA,45519010051.88,2021-07-01T11:00:00Z
61,WBA,41413515565.55,2021-03-31T11:00:01Z
62,WBA,32836908064.17,2021-01-07T12:00:17Z
63,WBA,32945626063.78,2020-10-15T11:00:00Z
64,WBA,37667835173.3,2020-07-09T11:00:00Z
65,WBA,40537027914.24,2020-04-02T11:00:00Z
66,WBA,53195452301.6,2020-01-08T12:00:01Z
67,WBA,46231913870.97,2019-10-28T11:00:00Z
68,WBA,44561098464.42,2019-06-27T11:00:00Z
69,WBA,67163830755.84,2019-04-02T11:00:00Z
70,WBA,79881465797.12,2018-12-20T12:07:30Z
71,WBA,68039754516.32,2018-10-11T11:00:00Z
72,WBA,61916573574.58,2018-06-28T11:07:34Z
73,WBA,68315841599.53,2018-03-28T17:00:00Z
74,WBA,72058282987.56,2018-01-04T16:00:00Z
75,WBA,87212863609.0,2017-10-25T17:00:00Z
76,WBA,86699217295.72,2017-06-29T17:00:00Z
77,WBA,93239403666.64,2017-04-05T12:00:00Z
78,WBA,91431204106.87,2017-01-05T12:08:00Z
79,WBA,87353844375.77,2016-10-20T12:00:00Z
80,MAR,48220220687.64,2021-05-10T11:00:09Z
81,MAR,42785839974.72,2021-02-18T13:11:16Z
82,MAR,30025089550.92,2020-11-06T12:00:07Z
83,MAR,27798460707.44,2020-08-10T11:00:09Z
84,MAR,24254986400.99,2020-05-11T11:00:19Z
85,MAR,49508103073.17,2020-02-26T22:20:53Z
86,MAR,40962356567.77,2019-11-04T21:30:07Z
87,MAR,46715003521.86,2019-08-05T20:30:08Z
88,MAR,42117070472.96,2019-05-10T10:16:48Z
89,MAR,37033105368.0,2019-02-28T23:36:25Z
90,MAR,45812843728.11,2018-11-05T21:30:07Z
91,MAR,44734790601.6,2018-08-06T20:45:58Z
92,MAR,48604322558.22,2018-05-08T17:00:00Z
93,MAR,49484617541.59,2018-02-14T17:00:00Z
94,MAR,41063042651.72,2017-11-07T17:00:00Z
95,MAR,38006530029.09,2017-08-07T21:22:00Z
96,MAR,36016281130.12,2017-05-09T17:00:00Z
97,MAR,32284871517.6,2017-02-15T17:00:00Z
98,MAR,26261417910.11,2016-11-07T17:00:00Z
99,MAR,16896240111.2,2016-07-27T21:30:00Z
100,EMR,54104934000.0,2021-05-05T10:55:00Z
101,EMR,48064431962.79,2021-02-02T12:00:00Z
102,EMR,39184102259.97,2020-11-03T11:57:40Z
103,EMR,37061392859.0,2020-08-04T10:55:00Z
104,EMR,28469698045.0,2020-04-21T10:55:00Z
105,EMR,46454071457.1,2020-02-04T11:55:00Z
106,EMR,41125683749.32,2019-11-05T12:00:01Z
107,EMR,41034573617.76,2019-08-06T10:55:23Z
108,EMR,42083021745.73,2019-05-07T10:56:46Z
109,EMR,37412976230.5,2019-02-05T11:54:55Z
110,EMR,48127891895.58,2018-11-06T11:59:33Z
111,EMR,43564430343.68,2018-08-07T16:00:00Z
112,EMR,43359406782.3,2018-05-01T17:00:00Z
113,EMR,44728424510.22,2018-02-06T17:00:00Z
114,EMR,40218832669.44,2017-11-07T17:00:00Z
115,EMR,38423905469.84,2017-08-01T16:00:00Z
116,EMR,38613571445.5,2017-05-02T17:00:00Z
117,EMR,35928089897.25,2017-02-07T11:36:00Z
118,EMR,35079225472.83,2016-11-01T17:00:00Z
119,EMR,33557190298.56,2016-08-02T16:00:00Z
120,PENN,16406043297.08,2021-05-06T11:00:01Z
121,PENN,13415359359.15,2021-02-04T12:00:01Z
122,PENN,11127465853.1,2020-10-29T11:00:00Z
123,PENN,4152364625.52,2020-08-06T11:00:00Z
124,PENN,1478330434.9,2020-05-07T11:00:00Z
125,PENN,2962726720.56,2020-02-06T12:00:00Z
126,PENN,2158081581.0,2019-10-31T11:04:15Z
127,PENN,2256095676.24,2019-08-01T11:00:00Z
128,PENN,2348484000.0,2019-05-02T11:01:52Z
129,PENN,2238056917.11,2019-02-07T12:00:00Z
130,PENN,3041364337.16,2018-11-01T11:00:00Z
131,PENN,3070812378.06,2018-07-26T21:00:12Z
132,PENN,2407424391.06,2018-04-26T17:00:00Z
133,PENN,2854025837.26,2018-02-08T17:00:00Z
134,PENN,2136367284.2,2017-10-26T16:00:00Z
135,PENN,1949536961.2,2017-07-27T17:00:00Z
136,PENN,1675010679.01,2017-04-27T12:00:00Z
137,PENN,1151776378.2,2017-02-02T17:00:00Z
138,PENN,1131515248.45,2016-10-27T16:00:00Z
