,Instrument,GICS Sector
0,MMM,Industrials
1,ABT,Health Care
2,ABBV,Health Care
3,ABMD,Health Care
4,ACN,Information Technology
5,ATVI,Communication Services
6,ADBE,Information Technology
7,AMD,Information Technology
8,AAP,Consumer Discretionary
9,AES,Utilities
10,AFL,Financials
11,A,Health Care
12,APD,Materials
13,AKAM,Information Technology
14,ALK,Industrials
15,ALB,Materials
16,ARE,Real Estate
17,ALXN,Health Care
18,ALGN,Health Care
19,ALLE,Industrials
20,LNT,Utilities
21,ALL,Financials
22,GOOGL,Communication Services
23,GOOG,Communication Services
24,MO,Consumer Staples
25,AMZN,Consumer Discretionary
26,AMCR,Materials
27,AEE,Utilities
28,AAL,Industrials
29,AEP,Utilities
30,AXP,Financials
31,AIG,Financials
32,AMT,Real Estate
33,AWK,Utilities
34,AMP,Financials
35,ABC,Health Care
36,AME,Industrials
37,AMGN,Health Care
38,APH,Information Technology
39,ADI,Information Technology
40,ANSS,Information Technology
41,ANTM,Health Care
42,AON,Financials
43,AOS,Industrials
44,APA,Energy
45,AAPL,Information Technology
46,AMAT,Information Technology
47,APTV,Consumer Discretionary
48,ADM,Consumer Staples
49,ANET,Information Technology
50,AJG,Financials
51,AIZ,Financials
52,T,Communication Services
53,ATO,Utilities
54,ADSK,Information Technology
55,ADP,Information Technology
56,AZO,Consumer Discretionary
57,AVB,Real Estate
58,AVY,Materials
59,BKR,Energy
60,BLL,Materials
61,BAC,Financials
62,BK,Financials
63,BAX,Health Care
64,BDX,Health Care
65,BRK-B,Financials
66,BBY,Consumer Discretionary
67,BIO,Health Care
68,BIIB,Health Care
69,BLK,Financials
70,BA,Industrials
71,BKNG,Consumer Discretionary
72,BWA,Consumer Discretionary
73,BXP,Real Estate
74,BSX,Health Care
75,BMY,Health Care
76,AVGO,Information Technology
77,BR,Information Technology
78,BF-B,Consumer Staples
79,CHRW,Industrials
80,COG,Energy
81,CDNS,Information Technology
82,CZR,Consumer Discretionary
83,CPB,Consumer Staples
84,COF,Financials
85,CAH,Health Care
86,KMX,Consumer Discretionary
87,CCL,Consumer Discretionary
88,CARR,Industrials
89,CTLT,Health Care
90,CAT,Industrials
91,CBOE,Financials
92,CBRE,Real Estate
93,CDW,Information Technology
94,CE,Materials
95,CNC,Health Care
96,CNP,Utilities
97,CERN,Health Care
98,CF,Materials
99,CRL,Health Care
100,SCHW,Financials
101,CHTR,Communication Services
102,CVX,Energy
103,CMG,Consumer Discretionary
104,CB,Financials
105,CHD,Consumer Staples
106,CI,Health Care
107,CINF,Financials
108,CTAS,Industrials
109,CSCO,Information Technology
110,C,Financials
111,CFG,Financials
112,CTXS,Information Technology
113,CLX,Consumer Staples
114,CME,Financials
115,CMS,Utilities
116,KO,Consumer Staples
117,CTSH,Information Technology
118,CL,Consumer Staples
119,CMCSA,Communication Services
120,CMA,Financials
121,CAG,Consumer Staples
122,COP,Energy
123,ED,Utilities
124,STZ,Consumer Staples
125,COO,Health Care
126,CPRT,Industrials
127,GLW,Information Technology
128,CTVA,Materials
129,COST,Consumer Staples
130,CCI,Real Estate
131,CSX,Industrials
132,CMI,Industrials
133,CVS,Health Care
134,DHI,Consumer Discretionary
135,DHR,Health Care
136,DRI,Consumer Discretionary
137,DVA,Health Care
138,DE,Industrials
139,DAL,Industrials
140,XRAY,Health Care
141,DVN,Energy
142,DXCM,Health Care
143,FANG,Energy
144,DLR,Real Estate
145,DFS,Financials
146,DISCA,Communication Services
147,DISCK,Communication Services
148,DISH,Communication Services
149,DG,Consumer Discretionary
150,DLTR,Consumer Discretionary
151,D,Utilities
152,DPZ,Consumer Discretionary
153,DOV,Industrials
154,DOW,Materials
155,DTE,Utilities
156,DUK,Utilities
157,DRE,Real Estate
158,DD,Materials
159,DXC,Information Technology
160,EMN,Materials
161,ETN,Industrials
162,EBAY,Consumer Discretionary
163,ECL,Materials
164,EIX,Utilities
165,EW,Health Care
166,EA,Communication Services
167,EMR,Industrials
168,ENPH,Information Technology
169,ETR,Utilities
170,EOG,Energy
171,EFX,Industrials
172,EQIX,Real Estate
173,EQR,Real Estate
174,ESS,Real Estate
175,EL,Consumer Staples
176,ETSY,Consumer Discretionary
177,EVRG,Utilities
178,ES,Utilities
179,RE,Financials
180,EXC,Utilities
181,EXPE,Consumer Discretionary
182,EXPD,Industrials
183,EXR,Real Estate
184,XOM,Energy
185,FFIV,Information Technology
186,FB,Communication Services
187,FAST,Industrials
188,FRT,Real Estate
189,FDX,Industrials
190,FIS,Information Technology
191,FITB,Financials
192,FE,Utilities
193,FRC,Financials
194,FISV,Information Technology
195,FLT,Information Technology
196,FMC,Materials
197,F,Consumer Discretionary
198,FTNT,Information Technology
199,FTV,Industrials
200,FBHS,Industrials
201,FOXA,Communication Services
202,FOX,Communication Services
203,BEN,Financials
204,FCX,Materials
205,GPS,Consumer Discretionary
206,GRMN,Consumer Discretionary
207,IT,Information Technology
208,GNRC,Industrials
209,GD,Industrials
210,GE,Industrials
211,GIS,Consumer Staples
212,GM,Consumer Discretionary
213,GPC,Consumer Discretionary
214,GILD,Health Care
215,GL,Financials
