Instrument,USLIAWHMP, USUNINSCE, USCNORCGD, USNAPMNO, USNOEXCHD, USBPPRVTO, S&PCOMP, USBCILCIQ, FRTCM10, FRFEDFD, USAVGEXPQ
Field,X,X,X,X,X,X,X,X,X,X,X
Dates,,,,,,,,,,,
1948-01-15,,,,53.3,,,,,,,
1948-02-15,,,,51.1,,,,,,,
1948-03-15,,,,43.9,,,,,,,
1948-04-15,,,,44.5,,,,,,,
1948-05-15,,,,51.2,,,,,,,
1948-06-15,,,,58.1,,,,,,,
1948-07-15,,,,50.4,,,,,,,
1948-08-15,,,,46.0,,,,,,,
1948-09-15,,,,40.6,,,,,,,
1948-10-15,,,,52.1,,,,,,,
1948-11-15,,,,43.2,,,,,,,
1948-12-15,,,,34.5,,,,,,,
1949-01-15,,,,31.4,,,,,,,
1949-02-15,,,,34.2,,,,,,,
1949-03-15,,,,42.1,,,,,,,
1949-04-15,,,,42.3,,,,,,,
1949-05-15,,,,41.1,,,,,,,
1949-06-15,,,,39.8,,,,,,,
1949-07-15,,,,49.1,,,,,,,
1949-08-15,,,,55.7,,,,,,,
1949-09-15,,,,58.0,,,,,,,
1949-10-15,,,,58.9,,,,,,,
1949-11-15,,,,58.7,,,,,,,
1949-12-15,,,,53.1,,,,,,,
1950-01-15,39.6,295.8,,62.3,,,,,,,
1950-02-15,39.7,290.3,,62.5,,,,,,,
1950-03-15,39.7,278.1,,61.8,,,,,,,
1950-04-15,40.3,264.9,,71.0,,,,,,,
1950-05-15,40.3,251.6,,76.6,,,,,,,
1950-06-15,40.6,253.4,,82.6,,,,,,,
1950-07-15,40.9,224.8,,80.3,,,,,,,
1950-08-15,41.3,171.2,,77.1,,,,,,,
1950-09-15,40.8,182.9,,66.4,,,,,,,
1950-10-15,41.1,195.0,,49.0,,,,,,,
1950-11-15,41.0,201.8,,57.2,,,,,,,
1950-12-15,40.9,198.6,,67.7,,,,,,,
1951-01-15,41.0,175.3,,67.9,,,,,,,
1951-02-15,40.9,182.8,,70.0,,,,,,,
1951-03-15,41.0,167.3,,61.0,,,,,,,
1951-04-15,41.0,200.7,,42.3,,,,,,,
1951-05-15,41.0,200.2,,45.2,,,,,,,
1951-06-15,40.9,210.3,,39.1,,,,,,,
1951-07-15,40.6,238.0,,38.2,,,,,,,
1951-08-15,40.4,255.6,,38.5,,,,,,,
1951-09-15,40.4,243.7,,48.2,,,,,,,
1951-10-15,40.3,235.2,,51.7,,,,,,,
1951-11-15,40.4,211.8,,49.3,,,,,,,
1951-12-15,40.7,215.0,,45.3,,,,,,,
1952-01-15,40.8,222.8,,46.8,,,,,,,
1952-02-15,40.8,202.2,,42.3,,,,,,,
1952-03-15,40.6,210.8,,43.7,,,,,,,
1952-04-15,40.3,220.3,,35.8,,,,,,,
1952-05-15,40.5,214.3,,43.9,,,,,,,
1952-06-15,40.6,243.5,,46.3,,,,,,,
1952-07-15,40.2,317.2,,69.4,,,,,,,
1952-08-15,40.7,208.1,,58.5,,,,,,,
1952-09-15,41.1,169.4,,60.3,,,,,,,
1952-10-15,41.2,175.9,,59.9,,,,,,,
1952-11-15,41.2,170.5,,58.8,,,,,,,
1952-12-15,41.2,191.9,,60.4,,,,,,,
1953-01-15,41.1,176.3,,64.6,,,,,,,
1953-02-15,41.0,178.5,,56.0,,,,,,,
1953-03-15,41.2,189.8,,47.2,,,,,,,
1953-04-15,40.9,180.5,,52.0,,,,,,,
1953-05-15,41.0,199.5,,49.3,,,,,,,
1953-06-15,40.9,196.1,,48.3,,,,,,,
1953-07-15,40.7,208.1,,44.2,,,,,,,
1953-08-15,40.7,230.2,,42.1,,,,,,,
1953-09-15,40.1,240.2,,39.9,,,,,,,
1953-10-15,40.1,252.4,,38.0,,,,,,,
1953-11-15,40.0,300.1,,40.9,,,,,,,
1953-12-15,39.7,281.7,,37.5,,,,,,,
1954-01-15,39.5,305.4,,42.9,,1314.0,,,,,
1954-02-15,39.7,320.7,,50.3,,1294.0,,,,,
1954-03-15,39.6,321.9,,54.7,,1364.0,,,,,
1954-04-15,39.7,315.5,,58.4,,1378.0,,,,,
1954-05-15,39.7,315.6,,60.2,,1403.0,,,,,
1954-06-15,39.7,316.1,,64.6,,1507.0,,,,,
1954-07-15,39.7,295.7,,63.8,,1545.0,,,,0.75,
1954-08-15,39.8,321.1,,56.6,,1533.0,,,,1.44,
1954-09-15,39.9,324.3,,62.2,,1572.0,,,,1.0,
1954-10-15,39.7,316.8,,66.7,,1626.0,,,,1.0,
1954-11-15,40.1,277.7,,66.0,,1752.0,,,,0.13,
1954-12-15,40.1,254.6,,73.6,,1702.0,,,,0.5,
1955-01-15,40.4,258.0,,66.8,,1759.0,,,,1.44,
1955-02-15,40.6,241.3,,73.9,,1946.0,,,,1.0,
1955-03-15,40.7,229.6,,71.5,,1667.0,,,,1.0,
1955-04-15,40.8,229.6,,70.9,,1713.0,,,,1.38,
1955-05-15,41.1,224.0,,72.9,,1723.0,,,,1.63,
1955-06-15,40.8,223.8,,60.9,,1626.0,,,,1.69,
1955-07-15,40.7,224.2,,67.1,,1632.0,,,,1.63,
1955-08-15,40.7,235.0,,70.4,,1576.0,,,,2.0,
1955-09-15,40.7,205.2,,63.7,,1552.0,,,,2.25,
1955-10-15,41.0,225.8,,66.3,,1519.0,,,,2.25,
1955-11-15,41.1,216.9,,61.5,,1386.0,,,,2.25,
1955-12-15,40.9,215.7,,66.6,,1380.0,,,,2.44,
1956-01-15,40.8,219.1,,61.8,,1416.0,,,,2.5,
1956-02-15,40.7,227.8,,56.2,,1376.0,,,,2.5,
1956-03-15,40.6,222.5,,57.3,,1416.0,,,,2.5,
1956-04-15,40.5,224.5,,55.9,,1411.0,,,,2.75,
1956-05-15,40.4,237.7,,53.0,,1314.0,,,,2.75,
1956-06-15,40.3,229.1,,48.9,,1290.0,,,,2.75,
1956-07-15,40.3,246.9,,44.4,,1281.0,,,,2.75,
1956-08-15,40.3,225.5,,54.3,,1251.0,,,,2.75,
1956-09-15,40.5,238.0,,60.5,,1218.0,,,,3.0,
1956-10-15,40.6,215.6,,55.6,,1201.0,,,,3.0,
1956-11-15,40.4,224.9,,57.0,,1208.0,,,,3.0,
1956-12-15,40.6,231.3,,52.8,,1197.0,,,,3.0,
1957-01-15,40.4,244.0,,57.6,,1115.0,,,,2.88,
1957-02-15,40.5,226.3,,52.5,,1172.0,,,,3.0,
1957-03-15,40.4,221.1,,51.1,,1182.0,,,,3.0,
1957-04-15,40.0,241.1,,49.2,,1117.0,,,,3.0,
1957-05-15,40.0,245.6,,46.1,,1167.0,,,,3.0,
1957-06-15,40.0,247.6,,49.8,,1192.0,,,,3.0,
1957-07-15,40.0,268.8,,47.6,,1111.0,,,,3.0,
1957-08-15,40.0,236.5,,48.8,,1187.0,,,,3.25,
1957-09-15,39.7,307.5,,53.8,,1191.0,,,,3.5,
1957-10-15,39.4,303.7,,46.4,,1175.0,,,,3.5,
1957-11-15,39.2,322.8,,47.2,,1141.0,,,,3.5,
1957-12-15,39.1,357.7,,42.8,,1150.0,,,,3.0,
1958-01-15,38.9,356.5,,35.2,,1180.0,,,,2.25,
1958-02-15,38.7,409.6,,47.3,,1015.0,,,,2.75,
1958-03-15,38.8,439.1,,45.3,,1125.0,,,,1.5,
1958-04-15,38.9,441.1,,47.2,,1185.0,,,,1.75,
1958-05-15,38.9,403.1,,56.7,,1240.0,,,,0.5,
1958-06-15,39.1,412.8,,60.8,,1324.0,,,,1.63,
1958-07-15,39.3,352.2,,66.5,,1442.0,,,,1.0,
1958-08-15,39.5,365.9,,65.2,,1440.0,,,,1.75,
1958-09-15,39.5,340.4,,67.0,,1476.0,,,,1.75,
1958-10-15,39.6,316.7,,67.9,,1523.0,,,,1.75,
1958-11-15,39.9,313.6,,68.5,,1729.0,,,,2.5,
1958-12-15,39.9,322.5,,64.7,,1494.0,,,,2.5,
1959-01-15,40.2,294.1,47757.0,69.0,8350.0,1478.0,,,,2.5,
1959-02-15,40.3,286.2,50371.0,70.5,9955.0,1542.0,,,,2.5,
1959-03-15,40.4,259.7,51272.0,70.2,11248.0,1611.0,,,,2.88,
1959-04-15,40.5,246.1,50851.0,66.9,10205.0,1539.0,,,,3.0,
1959-05-15,40.7,248.0,49832.0,69.9,10695.0,1513.0,,,,3.0,
1959-06-15,40.6,259.4,49906.0,64.2,10892.0,1490.0,,,,3.5,
1959-07-15,40.3,265.5,49129.0,61.3,11050.0,1452.0,,,,3.25,
1959-08-15,40.4,293.5,47028.0,54.4,10177.0,1465.0,,,,3.5,
1959-09-15,40.4,273.0,46975.0,43.7,11050.0,1411.0,,,,4.0,
1959-10-15,40.1,313.1,46866.0,50.0,10677.0,1358.0,,,,4.0,
1959-11-15,39.9,353.6,45860.0,51.1,10037.0,1298.0,,,,4.0,
1959-12-15,40.3,277.2,49279.0,62.8,10844.0,1394.0,,,,4.0,
1960-01-15,40.6,282.6,48342.0,65.4,9969.0,1325.0,,,,4.0,
1960-02-15,40.3,272.6,47617.0,52.5,10289.0,1319.0,,,,4.0,
1960-03-15,40.0,305.3,46753.0,52.2,10127.0,1158.0,,,,4.0,
1960-04-15,40.0,296.0,47078.0,52.0,10562.0,1232.0,,,,4.0,
1960-05-15,40.1,318.1,46551.0,45.8,10563.0,1276.0,,,,4.0,
1960-06-15,39.9,323.8,46955.0,49.2,10479.0,1161.0,,,,3.0,
1960-07-15,39.9,337.7,46770.0,45.7,10127.0,1211.0,,,,3.5,
1960-08-15,39.7,366.1,48054.0,55.6,10109.0,1205.0,,,,3.0,
1960-09-15,39.4,353.8,47972.0,50.5,10089.0,1194.0,,,,3.0,
1960-10-15,39.7,375.7,47128.0,50.1,9820.0,1179.0,,,,2.75,
1960-11-15,39.3,387.6,46585.0,48.2,9497.0,1187.0,,,,2.5,
1960-12-15,38.4,383.9,45946.0,47.5,10438.0,1151.0,,,,2.0,
1961-01-15,39.3,396.0,44292.0,47.2,9960.0,1176.0,,,,2.5,
