,date,Instrument,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,e_p,b_p,ebit_ev,rev_ev,90 days,1_yr,fwd_ret,Unnamed: 0.1,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret,1yr_vol,6mth_vol,3mth_vol,quarter
3,2020-05-21,A,2.20439,2.20439,2.17933,-0.24727,829000000.0,1115000000.0,5236000000.0,683000000.0,9455000000.0,819000000.0,1324000000.0,4768000000.0,265000000.0,2887000000.0,7510000000.0,4503000000.0,313000000.0,33000000.0,1.00320512820513,305000000.0,8636000000.0,0.1738674496644295,1.0122100122100122,0.0959935155164427,0.0876784769962982,0.1583269671504965,1563000000.0,1.4017937219730945,0.0790875405280222,0.0722369116869381,0.1304430863254392,0.0656459731543624,0.036243631310792,0.0331041776837652,0.0597784568372803,0.0416777629826897,0.0639681208053691,0.0353172765169059,0.032258064516129,0.0582505729564553,0.040612516644474,584664.8174603175,630458.6984126985,716938.1904761905,23899.239722222224,23335.141746031743,24863.319047619047,0.0042548040942899,0.200860454669056,0.0105925197950042,0.0489311175605048,-0.0452234596901819,0.0719636939848629,xxx,92.0,13.8077428484787,7.39297505006224,8.86207343973012,10.3275429965866,60.5495,0.6499951838001903,0.2134404463793087,0.3172001596443996,0.0226351995291478,0.0287178712330547,0.0394046922913748,2_2020
19,2020-05-19,AAP,5.50863,5.50863,5.48705,-1.35498,628215000.0,875280000.0,9454848000.0,387984000.0,12072572000.0,188193000.0,1279838000.0,3537029000.0,1849885000.0,1741094000.0,7241523000.0,1687144000.0,10908000.0,83203000.0,0.157193912842979,926016000.0,11884379000.0,0.1776109271368711,3.338142226331479,0.052860565958053,0.0520365502893666,0.0664436911095768,461256000.0,0.5269810803400055,0.0326465522514891,0.032137642252206,0.0410354560961741,0.003083944180271,0.0009178434985959,0.0009035357171611,0.0011536938510275,0.0015063129675898,0.2618061655700306,0.0779187536849843,0.076704119055989,0.0979408658922914,0.1278758625775268,255120.09523809524,263741.8888888889,268661.92063492065,10060.379206349207,7880.93619047619,9098.841507936508,0.0053078585724674,0.430716015846467,0.0103647653004301,0.3110584868988065,-0.0395336639755333,-0.1799756161533433,xxx,173.0,10.953421758571,3.35132252916257,5.53308123974938,8.69492641331814,49.22476,0.4415802249854674,0.2010333233192334,0.1158849911668364,0.0293399879661376,0.0377499640145433,0.0505920097884784,2_2020
43,2020-05-07,ABC,7.65155,7.65155,7.59467,4.5472,1847430000.0,2271374000.0,186159448000.0,1582495000.0,42042262000.0,315330000.0,3691938000.0,3705113000.0,-4934468000.0,4145194000.0,9930472000.0,8639581000.0,852897000.0,77077000.0,4.11904163970212,790748000.0,41726932000.0,0.4986163714844864,5.858719436780516,0.0442742830937103,0.0439422122434801,0.0099239121078614,453256000.0,0.1995514609218913,0.0379250264553358,0.0376405769984498,0.0085007503889891,0.2301945986532664,0.0204399642897301,0.0202866582202451,0.0045815402288902,0.0858868541193208,0.2134207512699343,0.018950542541685,0.0188084075970983,0.0042476920107756,0.0796284406219563,391887.59523809527,434836.00793650793,521018.1746031746,17889.155833333334,18035.44015873016,18031.61642857143,0.0527004474915565,0.197053245843343,0.0320372354704143,2.5236647087553217,0.0028221083735757,0.1735207429694851,xxx,196.0,48.6038817194311,3.93800212069939,16.3039330001619,23.8083318269953,111.87767,0.3858787831743946,0.1507824768458434,0.1939439179266857,0.0261213498042575,0.0326913250486942,0.0437140561327443,2_2020
51,2020-04-30,ABMD,4.49446,4.49446,4.4282,-0.93437,249218000.0,269648000.0,840882000.0,203009000.0,1216462000.0,43336000.0,443116000.0,1065466000.0,1010920000.0,0.0,1084577000.0,54546000.0,86593000.0,10546000.0,1.90485932378627,76047000.0,1173126000.0,0.2339051645007912,5.750830718109655,0.2124392435254184,0.2048711755895375,0.2963768994936269,-443116000.0,-1.6433127633062363,0.1730496127440701,0.1668847855502268,0.2414238858722151,0.0812724197675008,0.073813895523584,0.0711843033321221,0.1029787770460064,0.0798403432859077,0.0713744033127288,0.0648242388285657,0.0625148997667004,0.090437183814138,0.0701167367554355,253947.0357142857,285005.6746031746,282100.0634920635,8878.422380952383,7157.3996825396825,7765.278095238095,0.0048669457085692,0.1630783438054737,0.0100344069097285,0.0339320678603682,-0.0242844479375257,-0.2776749332035344,xxx,93.0,20.2770136778874,17.8798912105295,19.9721091530676,20.2770136778874,0.0,0.6770196652879903,0.5629281237234478,0.4797385620915033,0.0353212560102677,0.0390699356474538,0.0369511163456671,2_2020
59,2020-04-16,ABT,2.02277,2.00695,1.99262,-0.06227,4686000000.0,7775000000.0,32095000000.0,3579000000.0,66777000000.0,3174000000.0,3668000000.0,30427000000.0,-8765000000.0,18272000000.0,55969000000.0,39192000000.0,715000000.0,360000000.0,0.401555000679555,405000000.0,63603000000.0,0.1540079534623853,1.4763705103969755,0.0736757700108485,0.070173862257963,0.1460040504751519,14604000000.0,1.8783279742765275,0.0562709306164803,0.0535962981266004,0.1115126966817261,0.0234988661386268,0.0112416081002468,0.0107072794525061,0.0222776133354105,0.0127749289785416,0.0133105465540473,0.0063676241686712,0.0060649624870838,0.0126187879732045,0.0072361485822508,1716543.130952381,1993082.8412698407,2503898.73015873,147254.39523809525,146920.54761904763,148857.29047619045,0.0040407055323642,0.2164929783279827,0.0058357725009825,0.0500412634212998,0.0494694396816417,0.3387192883183303,xxx,164.0,11.615393421978,5.28473736298898,6.20446246046861,8.3524079553456,60.05193,0.3147408993978275,0.0080650515888645,0.1305086853778865,0.0223308248333324,0.028653424162008,0.0398767751054377,2_2020
67,2020-06-25,ACN,7.77652,7.77652,7.6767,-0.02832,6540434000.0,7509432000.0,44547418000.0,4950337000.0,35057319000.0,6812016000.0,6445937000.0,16483645000.0,8117045000.0,69039000.0,23229038000.0,8366600000.0,2741466000.0,149981000.0,4.24633270527102,2591644000.0,28245303000.0,0.3967832357467053,0.9601319198310748,0.2315582877620396,0.1865640096437494,0.1468195979394361,-6376898000.0,-0.849185131445361,0.1752623082145729,0.1412069473994859,0.1111251161627369,0.166314307302784,0.0970591818398974,0.078199533740729,0.0615404017355169,0.1180189209729649,0.1572251768343713,0.0917548662869716,0.0739259040316231,0.0581771989568508,0.1115691489247208,733347.8333333334,889202.5873015873,784966.2222222222,127637.55472222222,122502.79523809523,124979.4626190476,0.0092045789509338,0.1200191054037524,0.0132537341828378,0.0861887739535949,0.3772908063714926,0.2026562436172281,xxx,262.0,33.2774176330746,15.8998402861507,24.614338488646,32.3617366499091,0.41883,0.3750881902475724,-0.0097296336941302,0.1936082993378376,0.0251588236886746,0.0338576116506258,0.0299746546301983,2_2020
75,2020-06-11,ADBE,7.66097,7.66708,7.58809,0.98937,3776744000.0,4598905000.0,12045071000.0,3699624000.0,21603000000.0,848000000.0,4351000000.0,10881000000.0,-1349000000.0,4114000000.0,16439000000.0,12230000000.0,1184000000.0,96000000.0,2.44123711340206,1088000000.0,20755000000.0,0.347095303740465,4.453707547169811,0.1819679113466634,0.1748249780123131,0.3135509952577282,-237000000.0,-0.0515340064645823,0.1782521801975427,0.171255103457853,0.3071483762943365,0.1088135281683668,0.0570464948205251,0.0548072027033282,0.0982974695624459,0.0720238457327088,0.099990809668229,0.0524211033485907,0.0503633754571124,0.0903274044627881,0.0661840744570837,1127867.4761904762,1262000.1825396826,1376092.126984127,154506.77380952382,167727.6349206349,167987.18412698412,0.0059055897437772,0.0584170200018546,0.0054615666578646,0.0168147445923233,0.3602456611499451,0.4006431647427699,xxx,172.0,35.5800087955941,17.9436728022057,26.0581567644969,26.3921246922456,37.80902,0.3961874558722384,0.2285190839358142,0.2478137938944535,0.0273588836535693,0.035664444231533,0.0422823117659587,2_2020
83,2020-05-20,ADI,3.01023,3.01023,2.9818,-0.26699,1480706000.0,2297241000.0,5543987000.0,1110347000.0,21350938000.0,1608021000.0,784937000.0,11590858000.0,-4591714000.0,5591168000.0,19768936000.0,16182572000.0,429041000.0,60161000.0,1.15549480884987,464526000.0,19742917000.0,0.1277477474057572,0.920825038976481,0.0749993529324972,0.0693508641166022,0.2670832381100461,4806231000.0,2.0921753529560023,0.0562402708779052,0.0520046004536194,0.2002795100349261,0.0370154651191482,0.0217313885278452,0.0200947143399507,0.0773885292299567,0.0217027866345462,0.0400769295939955,0.0235287419787055,0.0217567022113969,0.0837891575142582,0.0234977744882172,1024710.0952380951,1115096.6825396826,1387372.5396825396,40640.07186507937,37169.878730158736,40178.54817460317,0.0070146659907277,0.3037251113799028,0.0080298709129024,0.0306517128398155,-0.0702082991302538,0.1530309615437375,xxx,85.0,9.51729721825409,5.15515209022191,5.53325907126555,7.47763533053815,48.23774,0.4189840889926168,0.0368529410381166,0.1985250069998014,0.0315441554345237,0.0407052247069446,0.0552392933751527,2_2020
91,2020-04-29,ADM,2.73462,2.7618,2.74996,0.2821,1729000000.0,2722000000.0,64312000000.0,1537000000.0,48395000000.0,6632000000.0,4734000000.0,18976000000.0,13782000000.0,12503000000.0,31007000000.0,5194000000.0,-655000000.0,194000000.0,-1.1613475177305,2819000000.0,41763000000.0,0.0911150927487352,0.2607056694813027,0.0414002825467519,0.0357268312842235,0.0268845627565617,7769000000.0,2.854151359294636,0.036802911668223,0.0317594792850501,0.0238991168055728,-0.0345172849915682,-0.0156837391949812,-0.0135344560388469,-0.0101847244682174,-0.0211242622633598,0.1485560708263069,0.0674999401384,0.0582498191961979,0.0438331882074884,0.0909149546876511,995709.992063492,999097.5,1073908.492063492,22658.757063492063,21214.65047619048,22962.13523809524,0.0199463632276774,0.9668119588003664,0.0091747892602479,0.5435698557758019,-0.1137321283784678,-0.0286240245977175,xxx,278.0,8.20144265067244,3.38846044611452,5.10634094949628,6.29370082770189,65.88849,0.7093020928899261,0.1287678032423114,0.3352640616138609,0.0226334868238408,0.029237869815775,0.0402423073956045,2_2020
99,2020-04-29,ADP,5.86178,5.86178,5.83266,0.17283,3289100000.0,3754000000.0,14692300000.0,2530300000.0,43383400000.0,34362800000.0,1708200000.0,5490700000.0,2084700000.0,2004600000.0,8710600000.0,3406000000.0,1118700000.0,131900000.0,2.59078276980083,986300000.0,9020600000.0,0.5990310889321945,0.0957168798817325,0.3646209786488704,0.0758147125398193,0.2238655622332786,296400000.0,0.0789557805007991,0.2805024056049486,0.0583241516340351,0.1722194618950062,0.2037445134500154,0.124016140833204,0.0257863606817354,0.0761419246816359,0.1284297292953413,0.1796310124392154,0.1093386249251712,0.0227345021367619,0.0671304016389537,0.113229857874314,890600.6507936508,1026806.9603174604,1282728.9523809524,70202.56531746032,64679.25571428572,69207.61960317461,0.0139106896732802,0.0930435178329638,0.0180732730358239,0.0682498316955016,-0.14205921638756,-0.0539475976524816,xxx,236.0,47.1327850683158,5.5258971147536,28.5250466436314,35.6240408705467,36.50901,0.3218643803625589,-0.0542761659422738,0.0138984038617362,0.0254695382860385,0.0337641344496525,0.046836410399715,2_2020
