Instrument,date,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce
SHW.N,2021-04-27T11:00:23Z,7.84888,7.84888,7.71886,0.36361,3062700000.0,3644100000.0,18871000000.0,2118300000.0,20435000000.0,909500000.0,314700000.0,3078700000.0,-8142600000.0,9109000000.0,14783400000.0,11221300000.0,690700000.0,64300000.0,2.55247597930525,1445300000.0,19525500000.0,0.9948030012667685,3.3674546454095657,0.15685641852961513,0.1498752140934671,0.16229664564675958,8794300000.0,2.4132982080623475,0.10848889913190443,0.103660386591632,0.11225160298871284,0.22434793906518985,0.03537425418043072,0.033799853193051135,0.03660113401515553,0.04672132256449802,0.46945139182122325,0.0740211518270979,0.07072669439686811,0.07658841608817762,0.09776506081145069
SHW.N,2021-01-28T12:00:15Z,7.48527,7.48527,7.35997,0.60967,2875200000.0,3456600000.0,18361700000.0,2030400000.0,20401600000.0,1176900000.0,226600000.0,3610800000.0,-7909500000.0,8292100000.0,15807200000.0,11520300000.0,474600000.0,110000000.0,1.73849902163945,386400000.0,19224700000.0,0.7962778331671652,2.4430282946724446,0.14955760037867952,0.14093012312759784,0.1565868084109859,8065500000.0,2.333362263495921,0.1056141318200024,0.09952160614853738,0.11057799659072962,0.1314390162844799,0.024686991214427273,0.023262881342639794,0.025847279935953642,0.030024292727364746,0.10701229644400133,0.020099143289622205,0.01893969100462709,0.021043803133696772,0.024444556910774837
SHW.N,2020-10-27T11:00:11Z,6.8756,6.8756,6.75774,0.50599,2770284000.0,3350027000.0,17987329000.0,1872022000.0,20809700000.0,1039600000.0,619900000.0,4207300000.0,-7297000000.0,8291200000.0,16451400000.0,11504300000.0,923200000.0,51500000.0,3.34089122718394,326200000.0,19770100000.0,0.658446985002258,2.6647595228934207,0.1401249361409401,0.1331246486013734,0.15401308332104227,7671300000.0,2.2899218424209717,0.09468955645140895,0.0899591056094033,0.10407448487766027,0.21942813680983053,0.046696779480124025,0.04436392643815144,0.05132501885076989,0.05611680464884448,0.07753190882513726,0.0164996636334667,0.01567538215351495,0.018134988246448373,0.019828099736192664
SHW.N,2020-07-28T11:00:19Z,6.36961,6.36961,6.25631,0.48487,2607817000.0,3184217000.0,17732779000.0,1742660000.0,20494500000.0,1039600000.0,188100000.0,3869900000.0,-7640600000.0,8849600000.0,16034900000.0,11510500000.0,843400000.0,35700000.0,3.05733515580457,-98000000.0,19454900000.0,0.6738719346753146,2.508481146594844,0.13404422536224808,0.12724472419429603,0.14706194669205544,8661500000.0,2.7201349656760203,0.08957434887868866,0.08503061797067506,0.09827337271839907,0.2179384480219127,0.04335154639705164,0.04115250433043011,0.047561637124107846,0.05259777111176247,-0.025323651773947648,-0.005037291376465569,-0.004781770718973383,-0.005526488544181371,-0.006111668922163531
SHW.N,2020-04-29T11:00:18Z,5.88474,5.88474,5.77419,0.28841,2530603000.0,3106616000.0,18006639000.0,1617763000.0,20570300000.0,1028500000.0,238500000.0,3289100000.0,-8255000000.0,9770200000.0,15350100000.0,11544100000.0,485000000.0,106600000.0,1.74095571283135,1458200000.0,19541800000.0,0.7693907147851996,2.4604793388429753,0.12949692454123982,0.12302217274419916,0.14053722074397115,9531700000.0,3.0681938160364846,0.08278474859020152,0.07864557152788243,0.08984258528201737,0.14745675108692347,0.024818593988271295,0.02357768238674205,0.026934510099302818,0.03159588536882496,0.44334316378340577,0.07461953351277774,0.07088861125020053,0.08098124252949149,0.09499612380375372
SHW.N,2020-01-30T12:03:10Z,5.59633,5.59633,5.49211,0.5406,2425400000.0,3000300000.0,17900800000.0,1541300000.0,20496200000.0,1095800000.0,161800000.0,4123300000.0,-7616000000.0,8685200000.0,15974300000.0,11739300000.0,659893000.0,104075000.0,2.35866478231951,323884000.0,19400400000.0,0.5882181747629326,2.213360102208432,0.1250180408651368,0.11833413022901806,0.13549115123346442,8523400000.0,2.8408492484084924,0.0794468155295767,0.07519930523706833,0.08610229710404005,0.16004001649164504,0.034014401764912064,0.03219587045403538,0.036863883178405436,0.041309666151255454,0.07854970533310698,0.016694707325622154,0.015802148690976865,0.018093269574544154,0.020275317228297954
SHW.N,2019-10-22T11:56:07Z,5.05573,5.02481,4.92958,0.825,2250437000.0,2825542000.0,17850592000.0,1393666000.0,20864339000.0,1065415000.0,189645000.0,4022860000.0,-7825096000.0,8908298000.0,15998549000.0,11847956000.0,903406000.0,96946000.0,3.21707924382931,256941000.0,19798924000.0,0.5594122092242833,2.112263296461942,0.113664611268774,0.10786045031189342,0.12607072079178103,8718653000.0,3.085656840351338,0.07039099700569587,0.0667965565551825,0.0780739372677388,0.2245680933465246,0.04562904529559283,0.043299047240365485,0.05060930192119119,0.05646799594138193,0.06387023162625595,0.012977523425010368,0.012314840168193203,0.01439397640145492,0.016060268965641823
SHW.N,2019-07-23T11:00:10Z,4.23073,4.19981,4.11684,0.26295,2143343000.0,2723149000.0,17714412000.0,1171255000.0,21186136000.0,1040061000.0,145577000.0,3747482000.0,-8257997000.0,9456093000.0,14843496000.0,12005479000.0,793951000.0,76519000.0,2.82858922096615,341080000.0,20146075000.0,0.5719421734380579,2.060785857752574,0.10639010328314573,0.10116724446590922,0.12099430678252261,9310516000.0,3.4190255472616444,0.0581381236791782,0.05528403102859342,0.06611876250817696,0.21186252529031493,0.039409711320939685,0.03747502612085564,0.04481949499650341,0.05348814052969732,0.09101578072956722,0.016930344992759135,0.016099207519483495,0.019254378863944228,0.022978414249581094
DTE.N,2021-04-27T14:18:43Z,7.3533,7.3533,7.34582,0.28076,2021000000.0,3479000000.0,12933000000.0,1424000000.0,46699000000.0,5190000000.0,1568000000.0,12714000000.0,7930000000.0,20514000000.0,44104000000.0,4784000000.0,1057000000.0,669000000.0,5.44845360824742,1392000000.0,41509000000.0,0.15895862828378166,0.389402697495183,0.04868823628610663,0.0432771579691214,0.15626691409572413,18946000000.0,5.445817763725208,0.03430581319713797,0.03049315831174115,0.11010593056522075,0.08313669970111688,0.02546435712736997,0.022634317651341572,0.08172891053893142,0.023966080174133864,0.10948560641812176,0.033534896046640485,0.029807918799117754,0.10763163999072141,0.03156176310538727
DTE.N,2021-02-19T18:45:54Z,7.07254,7.07254,7.06506,0.00515,2041000000.0,3484000000.0,12161000000.0,1366000000.0,45496000000.0,5193000000.0,514000000.0,12589000000.0,7784000000.0,19508000000.0,42805000000.0,4805000000.0,916000000.0,969000000.0,4.6734693877551,-229000000.0,40303000000.0,0.1621256652633251,0.39302907760446754,0.050641391459692826,0.044861086688939684,0.167831592796645,18994000000.0,5.451779563719862,0.03389325856635982,0.0300246175487955,0.11232628895650029,0.07276193502263881,0.022727836637471157,0.020133638122032706,0.07532275306307047,0.02139936923256629,-0.018190483755659702,-0.005681959159367789,-0.005033409530508176,-0.018830688265767618,-0.005349842308141573
