,Date,Value,Val_ex_cash,model
0,2019-10-01,1000000.0,997480.856687109,MF_MLP
1,2019-10-02,980878.9785263793,978359.8352134883,MF_MLP
2,2019-10-03,976557.6250124883,974038.4816995973,MF_MLP
3,2019-10-04,992352.7002791928,989833.5569663018,MF_MLP
4,2019-10-07,995624.6825770948,993105.5392642037,MF_MLP
5,2019-10-08,985661.0713188064,983141.9280059154,MF_MLP
6,2019-10-09,990236.9790122139,987717.8356993229,MF_MLP
7,2019-10-10,996388.5274010017,993869.3840881106,MF_MLP
8,2019-10-11,1011679.6537151336,1009160.5104022425,MF_MLP
9,2019-10-14,1009636.7824812824,1007117.6391683914,MF_MLP
10,2019-10-15,1015671.5151220806,1013152.3718091896,MF_MLP
11,2019-10-16,1017616.6821946851,1015097.5388817941,MF_MLP
12,2019-10-17,1025737.1119042989,1023217.9685914079,MF_MLP
13,2019-10-18,1018007.6760223443,1015488.5327094533,MF_MLP
14,2019-10-21,1017807.8826127403,1015288.7392998493,MF_MLP
15,2019-10-22,1017089.6602318507,1014570.5169189597,MF_MLP
16,2019-10-23,1014103.2074944383,1011584.0641815473,MF_MLP
17,2019-10-24,1017248.6795173043,1014729.5362044133,MF_MLP
18,2019-10-25,1019899.2403855915,1017380.0970727005,MF_MLP
19,2019-10-28,1030918.4832123815,1028399.3398994905,MF_MLP
20,2019-10-29,1031380.6436333691,1028861.5003204781,MF_MLP
21,2019-10-30,1032416.7746029405,1029897.6312900495,MF_MLP
22,2019-10-31,1032747.554658415,1030228.411345524,MF_MLP
23,2019-11-01,1037517.2723035585,1034998.1289906675,MF_MLP
24,2019-11-04,1047423.5234704264,1044904.3801575354,MF_MLP
25,2019-11-05,1044513.0881236128,1041993.9448107218,MF_MLP
26,2019-11-06,1043818.2744133632,1041299.1311004722,MF_MLP
27,2019-11-07,1046431.8086669189,1043912.6653540279,MF_MLP
28,2019-11-08,1048387.6574908041,1045868.5141779131,MF_MLP
29,2019-11-11,1048397.5150762348,1045878.3717633438,MF_MLP
30,2019-11-12,1053968.9045260884,1051449.7612131974,MF_MLP
31,2019-11-13,1053954.9914551266,1051435.8481422355,MF_MLP
32,2019-11-14,1061103.0147867196,1058583.8714738286,MF_MLP
33,2019-11-15,1063894.002996455,1061374.859683564,MF_MLP
34,2019-11-18,1065497.5653683227,1062978.4220554316,MF_MLP
35,2019-11-19,1069355.784868834,1066836.641555943,MF_MLP
36,2019-11-20,1068075.1389949634,1065555.9956820724,MF_MLP
37,2019-11-21,1068936.798201243,1066417.654888352,MF_MLP
38,2019-11-22,1070256.0800008397,1067736.9366879486,MF_MLP
39,2019-11-25,1073959.0694231691,1071439.9261102781,MF_MLP
40,2019-11-26,1076685.5278802707,1074166.3845673797,MF_MLP
41,2019-11-27,1078613.142743998,1076093.999431107,MF_MLP
42,2019-11-29,1078164.0379971762,1075644.8946842852,MF_MLP
43,2019-12-02,1072404.6951141255,1069885.5518012345,MF_MLP
44,2019-12-03,1060578.0374763352,1058058.8941634442,MF_MLP
45,2019-12-04,1068444.1161130208,1065924.9728001298,MF_MLP
46,2019-12-05,1068795.360806932,1066276.217494041,MF_MLP
47,2019-12-06,1077814.9472782924,1075295.8039654014,MF_MLP
48,2019-12-09,1075569.6827348908,1073050.5394219998,MF_MLP
49,2019-12-10,1068842.0012183073,1066322.8579054163,MF_MLP
50,2019-12-11,1067800.4763329078,1065281.3330200168,MF_MLP
51,2019-12-12,1073425.9094189259,1070906.7661060349,MF_MLP
52,2019-12-13,1077725.0140577664,1075205.8707448754,MF_MLP
53,2019-12-16,1087114.3176674806,1084595.1743545895,MF_MLP
54,2019-12-17,1089858.7698140752,1087339.6265011842,MF_MLP
