,Date,Cash Available to Trade
0,2020-07-19,100000
1,2020-07-20 05:50:00,100000
2,2020-07-20 05:50:00,20284.55372139
3,2020-07-20 05:55:00,99923.622757449
4,2020-07-20 05:55:00,20270.334773883
5,2020-07-20 06:00:00,99933.891450572
6,2020-07-20 06:00:00,20360.464609468
7,2020-07-20 06:05:00,100041.00426948
8,2020-07-20 06:05:00,20520.0124111435
9,2020-07-20 06:10:00,100101.22832911
10,2020-07-20 06:10:00,20379.111771963
11,2020-07-20 06:15:00,100136.60832911
12,2020-07-20 06:15:00,20173.65832911
13,2020-07-20 06:20:00,100053.68332911
14,2020-07-20 06:20:00,20173.65832911
15,2020-07-20 06:25:00,100173.03332911
16,2020-07-20 06:30:00,100173.03332911
17,2020-07-20 06:30:00,20613.261031972
18,2020-07-20 06:35:00,100236.469066793
19,2020-07-20 06:35:00,20772.2774591307
20,2020-07-20 06:40:00,100269.891159749
21,2020-07-20 06:40:00,20771.3149591307
22,2020-07-20 06:45:00,100261.396326575
23,2020-07-20 06:45:00,20806.7460428772
24,2020-07-20 06:50:00,100304.264185882
25,2020-07-20 06:50:00,20526.9604039404
26,2020-07-20 06:55:00,100431.26741723
27,2020-07-20 06:55:00,20806.0230976557
28,2020-07-20 07:00:00,100300.684265795
29,2020-07-20 07:00:00,20567.3804800812
30,2020-07-20 07:05:00,100485.262467129
31,2020-07-20 07:05:00,20485.9999671292
32,2020-07-20 07:10:00,100971.649967129
33,2020-07-20 07:10:00,21064.3399671292
34,2020-07-20 07:15:00,101127.087467129
35,2020-07-20 07:15:00,21534.1117621144
36,2020-07-20 07:20:00,101038.983660628
37,2020-07-20 07:20:00,21386.9040793892
38,2020-07-20 07:25:00,101059.397599096
39,2020-07-20 07:25:00,21461.6343758342
40,2020-07-20 07:30:00,101074.309240485
41,2020-07-20 07:30:00,21579.2639364417
42,2020-07-20 07:35:00,101080.688272079
43,2020-07-20 07:35:00,21474.1717719422
44,2020-07-20 07:40:00,101085.105772013
45,2020-07-20 07:40:00,21649.8831676952
46,2020-07-20 07:45:00,101079.496168618
47,2020-07-20 07:45:00,21263.8570273267
48,2020-07-20 07:50:00,101329.55325534
49,2020-07-20 07:50:00,21922.7409027267
50,2020-07-20 07:55:00,101387.783161596
51,2020-07-20 07:55:00,21692.8884039799
52,2020-07-20 08:00:00,101369.53302469
53,2020-07-20 08:00:00,22146.2147749713
54,2020-07-20 08:05:00,101166.767993995
55,2020-07-20 08:05:00,21869.0491445126
56,2020-07-20 08:10:00,101286.381165603
57,2020-07-20 08:10:00,21556.1675758581
58,2020-07-20 08:15:00,101208.124057883
59,2020-07-20 08:15:00,21667.1279400569
60,2020-07-20 08:20:00,101216.170449106
61,2020-07-20 08:20:00,21430.2437965209
62,2020-07-20 08:25:00,101039.430875617
63,2020-07-20 08:25:00,21439.8067328423
64,2020-07-20 08:30:00,100816.649283402
65,2020-07-20 08:30:00,21119.8128834018
