,key,cash,model
0,cash_2020-10-19,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
1,cash_2020-10-20,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
2,cash_2020-10-21,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
3,cash_2020-10-22,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
4,cash_2020-10-23,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
5,cash_2020-10-26,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
6,cash_2020-10-27,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
7,cash_2020-10-28,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
8,cash_2020-10-29,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
9,cash_2020-10-30,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
10,cash_2020-11-02,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
11,cash_2020-11-03,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
12,cash_2020-11-04,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
13,cash_2020-11-05,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
14,cash_2020-11-06,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
15,cash_2020-11-09,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
16,cash_2020-11-10,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
17,cash_2020-11-11,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
18,cash_2020-11-12,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
19,cash_2020-11-13,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
20,cash_2020-11-16,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
21,cash_2020-11-17,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
22,cash_2020-11-18,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
23,cash_2020-11-19,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
24,cash_2020-11-20,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
25,cash_2020-11-23,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
26,cash_2020-11-24,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
27,cash_2020-11-25,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
28,cash_2020-11-27,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
29,cash_2020-11-30,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
30,cash_2020-12-01,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
31,cash_2020-12-02,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
32,cash_2020-12-03,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
33,cash_2020-12-04,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
34,cash_2020-12-07,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
35,cash_2020-12-08,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
36,cash_2020-12-09,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
37,cash_2020-12-10,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
38,cash_2020-12-11,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
39,cash_2020-12-14,408.2024921661359,RF Reg_target_120_rebal_60_2018-01-01
