,Date,Value,Val_ex_cash,model
0,2020-10-19,100000.0,99613.9030665435,RF Reg_target_60_rebal_30_2018-01-01
1,2020-10-20,100154.88225877103,99768.78532531453,RF Reg_target_60_rebal_30_2018-01-01
2,2020-10-21,100125.18068717486,99739.08375371835,RF Reg_target_60_rebal_30_2018-01-01
3,2020-10-22,102214.8004932259,101828.7035597694,RF Reg_target_60_rebal_30_2018-01-01
4,2020-10-23,104589.6587362449,104203.5618027884,RF Reg_target_60_rebal_30_2018-01-01
5,2020-10-26,101904.16365766281,101518.0667242063,RF Reg_target_60_rebal_30_2018-01-01
6,2020-10-27,100159.69486001614,99773.59792655964,RF Reg_target_60_rebal_30_2018-01-01
7,2020-10-28,96645.28512805456,96259.18819459806,RF Reg_target_60_rebal_30_2018-01-01
8,2020-10-29,96793.8204877113,96407.7235542548,RF Reg_target_60_rebal_30_2018-01-01
9,2020-10-30,97391.46826605972,97005.37133260322,RF Reg_target_60_rebal_30_2018-01-01
10,2020-11-02,99735.03683278871,99348.93989933221,RF Reg_target_60_rebal_30_2018-01-01
11,2020-11-03,101860.2810481877,101474.1841147312,RF Reg_target_60_rebal_30_2018-01-01
12,2020-11-04,101856.86820944396,101470.77127598746,RF Reg_target_60_rebal_30_2018-01-01
13,2020-11-05,102985.52696513862,102599.43003168212,RF Reg_target_60_rebal_30_2018-01-01
14,2020-11-06,102317.31474483073,101931.21781137423,RF Reg_target_60_rebal_30_2018-01-01
15,2020-11-09,111527.22368639914,111141.12675294264,RF Reg_target_60_rebal_30_2018-01-01
16,2020-11-10,111494.70694884055,111108.61001538405,RF Reg_target_60_rebal_30_2018-01-01
17,2020-11-11,111890.69484815092,111504.59791469442,RF Reg_target_60_rebal_30_2018-01-01
18,2020-11-12,109133.02179961963,108746.92486616313,RF Reg_target_60_rebal_30_2018-01-01
19,2020-11-13,110740.84766157366,110354.75072811716,RF Reg_target_60_rebal_30_2018-01-01
20,2020-11-16,116072.29680598325,115686.19987252675,RF Reg_target_60_rebal_30_2018-01-01
21,2020-11-17,116100.82010325785,115714.72316980135,RF Reg_target_60_rebal_30_2018-01-01
22,2020-11-18,117432.93329832528,117046.83636486878,RF Reg_target_60_rebal_30_2018-01-01
23,2020-11-19,116175.63592228518,115789.53898882867,RF Reg_target_60_rebal_30_2018-01-01
24,2020-11-20,117301.30183266307,116915.20489920657,RF Reg_target_60_rebal_30_2018-01-01
25,2020-11-23,120322.03701671559,119935.94008325909,RF Reg_target_60_rebal_30_2018-01-01
26,2020-11-24,125928.99767944223,125542.90074598572,RF Reg_target_60_rebal_30_2018-01-01
27,2020-11-25,124630.2300430456,124244.1331095891,RF Reg_target_60_rebal_30_2018-01-01
28,2020-11-27,123951.35377086847,123565.25683741197,RF Reg_target_60_rebal_30_2018-01-01
29,2020-11-30,120526.36501591757,120140.26808246107,RF Reg_target_60_rebal_30_2018-01-01
30,2020-12-01,120132.36706046444,119977.62286235258,RF Reg_target_60_rebal_30_2018-01-01
31,2020-12-02,120119.38520707027,119964.64100895841,RF Reg_target_60_rebal_30_2018-01-01
32,2020-12-03,122324.3105443252,122169.56634621334,RF Reg_target_60_rebal_30_2018-01-01
33,2020-12-04,126534.95627576446,126380.2120776526,RF Reg_target_60_rebal_30_2018-01-01
