,Date,Instrument,e_p,b_p,ebit_ev,rev_ev,90_days,1_yr,fwd_ret
1274,2016-10-25,SHW.N,0.015045719429849,0.0621612190523759,0.0215196351292523,0.1216282149275089,-0.1528908655490932,0.0034446425676772,0.2317757764226
3671,2017-01-26,SHW.N,0.0081315998880988,0.0752338601457928,0.0137668211253274,0.1068962095818073,0.2317757764226,0.1929440294129152,0.0623606557377047
5751,2017-04-20,SHW.N,0.0082787454714176,0.0714963996094217,0.0116170378852433,0.0925898356105767,0.1445829948073052,0.0833166165162153,0.0825874945990987
8099,2017-07-20,SHW.N,0.0097339698270226,0.0729415554103938,0.0134877060938516,0.0847556983912884,0.0825874945990987,0.1948361605013964,0.1087006100689893
10590,2017-10-24,SHW.N,0.0094665870901501,0.0819561571216068,0.0125172396414538,0.1020010403586151,0.1092698231602966,0.5604461742165872,0.0919235812913012
12799,2018-01-25,SHW.N,0.0222477851787197,0.0951343511105501,0.0078312997306287,0.0817815735393278,0.0919235812913012,0.3914154652686763,-0.1308811755286582
15253,2018-04-24,SHW.N,0.0067864462566281,0.1001183353395906,0.0089701129900652,0.0834554708318356,-0.1400945923906711,0.1152474768840272,0.1644629890538633
17560,2018-07-24,SHW.N,0.0105859411246472,0.0982806501987428,0.0139153891397176,0.0987417879169259,0.1644629890538633,0.2258414147176266,-0.1437479640746426
20445,2018-10-25,SHW.N,0.008328484238427,0.0935080769596253,0.0130174839388889,0.0909933248912072,-0.1707416003785744,-0.0737244833748647,0.1454347826086954
22717,2019-01-31,SHW.N,0.0027413926495656,0.1012737842159849,0.0062267583321898,0.0883020358890109,0.1494328097731239,0.0227840729866788,0.0923325109128867
24818,2019-04-23,SHW.N,0.0061434475017735,0.0866782055988044,0.0085492358682811,0.0813780253275224,0.1687184303373352,0.2475344098840359,0.0646989835809226
27317,2019-07-23,SHW.N,0.0111328245202685,0.0885770568316233,0.0148599208016566,0.0944990075909485,0.0646989835809226,0.1406533575317605,0.1563755788099463
29930,2019-10-22,SHW.N,0.0113565757328053,0.0792555561091969,0.0130670757671734,0.0818412445886018,0.1312234350368168,0.4103495459634285,0.0035456614157949
32765,2020-01-30,SHW.N,0.0046155530749105,0.0765471679649381,0.0077217438536733,0.0659474232643194,-0.0218531318237306,0.3642031557239462,-0.0528036561785902
35341,2020-04-29,SHW.N,0.0077101139054888,0.0788291440675886,0.0100885521641944,0.0809015649956777,-0.0870802697116525,0.1904036052753661,0.1757228222543889
37858,2020-07-28,SHW.N,0.0113260884522529,0.0735540018482523,0.0138426160769724,0.0751372369940831,0.2453560827944096,0.2348939653828161,0.063010022886907
