,Instrument,Original Announcement Date Time,Debt - Long-Term - Total,Total Current Assets,Total Current Liabilities,Net Income after Tax,Revenue from Business Activities - Total,Cost of Operating Revenue,Operating Profit before Non-Recurring Income/(Expense),Net Cash Flow from Operating Activities,Total Shareholders' Equity incl Minority Intr & Hybrid Debt
0,SHW.N,2021-04-27T11:00:23Z,7862400000.0,5109600000.0,5651600000.0,409600000.0,4656000000.0,2623200000.0,704400000.0,690700000.0,3078700000.0
1,SHW.N,2021-01-28T12:00:15Z,8266900000.0,4591400000.0,4594400000.0,407000000.0,4488800000.0,2439300000.0,561000000.0,474600000.0,3610800000.0
2,SHW.N,2020-10-27T11:00:11Z,8266900000.0,5175600000.0,4358300000.0,705800000.0,5122200000.0,2745600000.0,954700000.0,923200000.0,4207300000.0
3,SHW.N,2020-07-28T11:00:19Z,8289400000.0,4883200000.0,4459600000.0,595900000.0,4604000000.0,2472500000.0,842600000.0,843400000.0,3869900000.0
4,SHW.N,2020-04-29T11:00:18Z,8289200000.0,4928000000.0,5220200000.0,321700000.0,4146700000.0,2335100000.0,516900000.0,485000000.0,3289100000.0
5,SHW.N,2020-01-30T12:03:10Z,8050700000.0,4631700000.0,4521900000.0,248622000.0,4114429000.0,2298795000.0,456084000.0,659893000.0,4123300000.0
6,SHW.N,2019-10-22T11:56:07Z,8043030000.0,4907739000.0,4865790000.0,576438000.0,4867650000.0,2719644000.0,792233000.0,903406000.0,4022860000.0
7,SHW.N,2019-07-23T11:00:10Z,7209481000.0,5089964000.0,6342640000.0,471003000.0,4877860000.0,2774506000.0,765386000.0,793951000.0,3747482000.0
8,SHW.N,2019-04-23T11:00:14Z,8702630000.0,4815144000.0,5000556000.0,245237000.0,4040861000.0,2384555000.0,411697000.0,-35950000.0,3460061000.0
9,SHW.N,2019-01-31T12:00:08Z,8708057000.0,4344487000.0,4297747000.0,92398000.0,4064221000.0,2460631000.0,281121000.0,512485000.0,3730745000.0
10,SHW.N,2018-10-25T11:00:09Z,8710831000.0,5038032000.0,4842065000.0,354027000.0,4731470000.0,2801143000.0,685139000.0,852119000.0,3974839000.0
11,SHW.N,2018-07-24T11:29:55Z,9722918000.0,5037205000.0,4190087000.0,403604000.0,4773796000.0,2809061000.0,664894000.0,538347000.0,3747089000.0
12,DTE.N,2021-04-27T14:18:43Z,19993000000.0,4376000000.0,2595000000.0,397000000.0,3778000000.0,2512000000.0,536000000.0,1057000000.0,12714000000.0
13,DTE.N,2021-02-19T18:45:54Z,19001000000.0,3498000000.0,2691000000.0,275000000.0,3288000000.0,2011000000.0,461000000.0,916000000.0,12589000000.0
14,DTE.N,2020-10-27T15:56:50Z,18219000000.0,3821000000.0,3417000000.0,477000000.0,3284000000.0,1991000000.0,602000000.0,1100000000.0,12488000000.0
15,DTE.N,2020-07-28T15:00:04Z,17341000000.0,3497000000.0,4196000000.0,277000000.0,2583000000.0,1513000000.0,422000000.0,620000000.0,11892000000.0
16,DTE.N,2020-04-28T00:00:00Z,17026000000.0,3526000000.0,3972000000.0,342000000.0,3006000000.0,1752000000.0,556000000.0,1061000000.0,11988000000.0
17,DTE.N,2020-02-05T20:18:55Z,15935000000.0,3086000000.0,3997000000.0,268000000.0,3220000000.0,1937000000.0,500000000.0,748000000.0,11836000000.0
18,DTE.N,2019-10-28T14:34:20Z,13858000000.0,2985000000.0,3865000000.0,317000000.0,3080000000.0,2026000000.0,365000000.0,534000000.0,10904000000.0
19,DTE.N,2019-07-24T15:08:00Z,13569000000.0,2726000000.0,3654000000.0,179000000.0,2851000000.0,1953000000.0,246000000.0,615000000.0,10569000000.0
