,Firm,To Grade,Action,ticker,From Grade
2012-04-02 06:07:00,Bank oferica,Neutral,down,SHW,
2012-04-12 06:28:00,JP Morgan,Neutral,main,SHW,
2012-04-16 06:39:00,Goldman Sachs,Neutral,main,SHW,
2012-04-23 06:49:00,JP Morgan,Neutral,main,SHW,
2012-06-06 06:22:00,Bank oferica,Underperform,down,SHW,
2012-06-22 06:27:00,Baird,Neutral,init,SHW,
2012-07-20 06:09:00,Credit Suisse,Underperform,main,SHW,
2012-07-20 08:37:00,Bank of America,Underperform,main,SHW,
2012-07-26 14:56:00,Barclays,Equal-Weight,main,SHW,
2012-09-27 14:26:00,Goldman Sachs,Neutral,main,SHW,
2012-10-17 05:53:00,Morgan Stanley,Equal-Weight,init,SHW,
2012-11-13 07:45:00,Nomura,Buy,main,SHW,
2012-11-13 08:09:00,JP Morgan,Neutral,main,SHW,
2012-11-13 09:44:00,Credit Agricole,Outperform,up,SHW,Underperform
2012-11-13 13:06:00,Morgan Stanley,Equal-Weight,main,SHW,
2012-11-28 07:46:00,Nomura,Neutral,down,SHW,Buy
2013-01-03 08:36:03,Citigroup,Neutral,main,SHW,
2013-03-12 06:51:43,Credit Suisse,Neutral,up,SHW,Underperform
2013-04-15 06:19:33,Morgan Stanley,Overweight,up,SHW,Equal-Weight
2013-04-15 07:50:16,Nomura,Buy,up,SHW,Neutral
2013-04-19 06:35:26,Citigroup,Neutral,main,SHW,
2013-05-24 07:50:00,Baird,Outperform,up,SHW,Neutral
2013-06-24 08:41:58,UBS,Buy,init,SHW,
2013-07-25 07:00:00,Northcoast Research,Buy,up,SHW,Neutral
2013-09-05 08:29:39,Longbow Research,Buy,up,SHW,Neutral
2013-09-23 10:11:55,Credit Suisse,Outperform,up,SHW,Neutral
2013-11-06 15:05:42,Sterne Agee,Neutral,init,SHW,
2013-12-12 16:00:00,RBC Capital,Outperform,down,SHW,Top Pick
2014-01-31 08:00:00,JP Morgan,Neutral,main,SHW,
2014-04-09 23:41:14,Citigroup,Neutral,main,SHW,
2014-04-22 01:00:34,JP Morgan,Neutral,main,SHW,
2014-07-09 19:34:53,Citigroup,Neutral,main,SHW,
2014-07-18 10:59:47,Zelman,Hold,down,SHW,
2014-07-18 23:10:18,JP Morgan,Neutral,main,SHW,
2014-07-23 21:30:45,Citigroup,Neutral,main,SHW,
2014-10-09 08:30:00,RBC Capital,Outperform,init,SHW,
2014-10-28 09:52:46,Barclays,Equal-Weight,main,SHW,
2014-10-29 09:00:00,Citigroup,Neutral,main,SHW,
2014-12-11 04:32:00,Credit Suisse,Outperform,main,SHW,
2014-12-15 09:00:00,Bank of America,Underperform,main,SHW,
2014-12-16 09:00:00,Barclays,Equal-Weight,main,SHW,
2015-01-30 09:00:00,Citigroup,Neutral,main,SHW,
2015-02-03 09:00:00,Barclays,Equal-Weight,main,SHW,
2015-02-09 09:00:00,JP Morgan,Neutral,main,SHW,
2015-03-23 06:33:22,UBS,Sell,down,SHW,Neutral
2015-04-14 09:00:00,KeyBanc,Overweight,main,SHW,
2015-04-23 10:53:58,Wolfe Research,Outperform,up,SHW,Peer Perform
2015-05-06 09:00:00,Credit Suisse,Outperform,main,SHW,
2015-05-12 09:00:00,Susquehanna,Neutral,main,SHW,
2015-07-21 08:57:34,Northcoast Research,Buy,up,SHW,Neutral
2015-08-25 07:47:38,Sterne Agee CRT,Buy,up,SHW,Neutral
2015-09-23 06:38:29,Longbow Research,Neutral,down,SHW,Buy
2015-10-30 04:06:10,Barclays,Equal-Weight,main,SHW,
2015-11-02 13:20:19,Barclays,Equal-Weight,main,SHW,
2016-01-05 08:22:24,Seaport Global,Accumulate,init,SHW,
2016-01-20 06:21:00,Goldman Sachs,Buy,up,SHW,Neutral
2016-01-29 08:06:09,Credit Suisse,Outperform,main,SHW,
2016-03-03 07:19:29,Citigroup,Buy,up,SHW,Neutral
2016-03-16 07:07:56,Longbow Research,Buy,up,SHW,Neutral
2016-03-21 06:26:28,KeyBanc,Sector Weight,down,SHW,Overweight
2016-03-21 06:27:36,Susquehanna,Positive,up,SHW,Neutral
2016-03-21 14:12:13,UBS,Neutral,main,SHW,
2016-07-11 07:50:56,Seaport Global,Neutral,down,SHW,Accumulate
2016-07-22 07:04:13,CLSA,Buy,up,SHW,Outperform
2016-09-29 06:04:14,Wells Fargo,Market Perform,init,SHW,
2016-11-08 12:07:26,Evercore ISI Group,Buy,up,SHW,Hold
2016-11-29 13:15:41,Atlantic Equities,Overweight,init,SHW,
2017-01-05 13:40:16,Longbow Research,Neutral,down,SHW,Buy
2017-04-04 13:54:51,KeyBanc,Overweight,up,SHW,Sector Weight
2017-05-26 13:24:22,Jefferies,Hold,init,SHW,
2017-06-13 14:01:20,Longbow Research,Buy,up,SHW,Neutral
2017-10-04 11:57:17,KeyBanc,Overweight,main,SHW,
2017-10-05 16:42:39,Bank of America,Buy,up,SHW,Underperform
2017-10-18 19:40:39,Zelman,Buy,up,SHW,Hold
2017-10-25 12:39:08,UBS,Neutral,main,SHW,
2017-10-25 13:16:35,Wells Fargo,Market Perform,main,SHW,
2017-10-25 19:55:34,Citigroup,Buy,main,SHW,
2017-12-04 20:05:47,Moffett Nathanson,Buy,init,SHW,
2017-12-19 13:27:42,Raymond James,Strong Buy,init,SHW,
2018-03-28 16:43:36,BMO Capital,Market Perform,init,SHW,
2018-04-25 12:57:00,Credit Suisse,Outperform,main,SHW,Outperform
2018-04-25 16:00:56,Barclays,Equal-Weight,main,SHW,Equal-Weight
2018-05-05 13:32:14,Argus,Buy,up,SHW,Hold
2018-05-05 13:32:15,Argus,Hold,init,SHW,
2018-07-17 11:51:57,Morgan Stanley,Overweight,main,SHW,Overweight
2018-07-25 14:08:20,Credit Suisse,Outperform,main,SHW,Outperform
2018-07-25 18:57:22,Bank of America,Buy,main,SHW,Buy
2018-09-04 15:11:08,Edward Jones,Hold,init,SHW,
2018-10-11 14:54:35,Citigroup,Neutral,down,SHW,Buy
2018-10-26 14:09:41,Barclays,Equal-Weight,main,SHW,Equal-Weight
2018-10-26 15:56:15,Credit Suisse,Outperform,main,SHW,Outperform
2018-10-26 16:06:23,Buckingham,Neutral,main,SHW,Neutral
2018-12-17 11:43:27,JP Morgan,Overweight,up,SHW,Neutral
2019-01-14 11:28:39,Wells Fargo,Outperform,up,SHW,Market Perform
2019-01-16 10:13:37,KeyBanc,Overweight,main,SHW,Overweight
2019-01-16 13:48:01,Deutsche Bank,Buy,main,SHW,Buy
2019-03-20 13:52:42,Evercore ISI Group,Outperform,init,SHW,
2019-03-22 10:28:14,JP Morgan,Neutral,down,SHW,Overweight
2019-04-15 15:07:05,Morgan Stanley,Overweight,main,SHW,Overweight
2019-04-24 13:00:57,BMO Capital,Market Perform,main,SHW,Market Perform
2019-04-24 13:21:02,Barclays,Equal-Weight,main,SHW,Equal-Weight
2019-04-24 13:46:13,Deutsche Bank,Buy,main,SHW,Buy
2019-04-24 14:16:35,Baird,Outperform,main,SHW,Outperform
2019-04-24 14:42:16,Wells Fargo,Outperform,main,SHW,Outperform
2019-04-24 14:58:17,UBS,Neutral,main,SHW,Neutral
2019-04-26 16:07:21,Argus Research,Buy,main,SHW,Buy
2019-06-25 11:41:21,Northcoast Research,Neutral,down,SHW,Buy
2019-07-24 10:34:31,KeyBanc,Overweight,main,SHW,
2019-07-24 11:27:42,Deutsche Bank,Buy,main,SHW,
2019-07-24 11:34:27,Barclays,Equal-Weight,main,SHW,
2019-07-24 11:58:45,Credit Suisse,Outperform,main,SHW,
2019-07-24 13:00:15,JP Morgan,Neutral,main,SHW,
2019-07-24 14:32:59,Buckingham Research,Neutral,main,SHW,
2019-09-04 12:31:10,BMO Capital,Market Perform,main,SHW,
2019-10-02 12:35:10,UBS,Neutral,main,SHW,
2019-10-09 12:57:20,Citigroup,Buy,main,SHW,
2019-10-11 12:04:20,Buckingham,Neutral,main,SHW,
2019-10-23 11:37:22,Wells Fargo,Outperform,main,SHW,
2019-10-23 11:57:04,Morgan Stanley,Overweight,main,SHW,
2019-10-23 12:28:16,Buckingham,Neutral,main,SHW,
2019-10-23 12:40:28,JP Morgan,Neutral,main,SHW,
2019-10-23 13:01:36,Credit Suisse,Outperform,main,SHW,
